Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,77.300000,68.022000,4.496923,0,17,4
1,77.300000,68.634000,5.235766,15,17,4
2,80.000000,68.715000,4.550195,15,14,4
3,80.000000,67.166000,4.948560,15,14,4
4,81.800000,67.571000,4.844467,9,12,4
5,81.800000,67.420000,5.479726,15,12,4
6,81.800000,67.967000,4.822615,15,12,4
7,81.800000,67.320000,5.049277,15,12,4
8,82.700000,68.498000,4.923880,5,11,4
9,82.700000,67.419000,5.229277,15,11,4
10,82.700000,68.040000,4.563354,15,11,4
11,82.700000,68.003000,5.356407,15,11,4
12,82.700000,67.482000,5.063840,15,11,4
13,82.700000,67.483000,5.265796,15,11,4
14,82.700000,68.355000,4.974100,10,11,4
15,82.700000,68.390000,5.172456,15,11,4
16,82.700000,68.203000,4.636603,15,11,4
17,82.700000,68.266000,5.142611,15,11,4
18,82.700000,67.951000,4.983061,15,11,4
19,82.700000,67.995000,5.093356,15,11,4
20,82.700000,68.275000,5.570195,15,11,4
21,82.700000,67.393000,5.239719,15,11,4
22,82.700000,68.689000,4.828517,15,11,4
23,82.700000,67.958000,5.392164,15,11,4
24,82.700000,68.489000,4.380135,15,11,4
25,82.700000,68.355000,4.458080,15,11,4
26,82.700000,67.851000,4.626824,15,11,4
27,82.700000,68.417000,4.920712,15,11,4
28,82.700000,67.743000,5.045478,15,11,4
29,82.700000,68.643000,4.460364,15,11,4
30,82.700000,68.264000,5.387866,15,11,4
31,82.700000,67.904000,5.299036,7,11,4
32,82.700000,68.041000,5.282956,15,11,4
33,82.700000,68.579000,4.758430,15,11,4
34,82.700000,68.013000,4.775430,15,11,4
35,82.700000,68.481000,4.714270,15,11,4
36,82.700000,66.896000,5.421437,15,11,4
37,82.700000,67.833000,5.229628,15,11,4
38,82.700000,67.670000,5.104674,15,11,4
39,82.700000,68.498000,4.802291,15,11,4
40,82.700000,68.030000,5.400750,15,11,4
41,82.700000,68.327000,4.626832,15,11,4
42,82.700000,68.336000,4.604835,15,11,4
43,82.700000,68.058000,4.955728,7,11,4
44,82.700000,67.689000,5.502961,15,11,4
45,82.700000,67.914000,4.723791,8,11,4
46,82.700000,67.492000,5.009804,15,11,4
47,82.700000,67.412000,5.164461,15,11,4
48,82.700000,68.561000,4.898671,11,11,4
49,82.700000,67.617000,5.349076,4,11,4
50,82.700000,69.200000,4.501800,8,11,4
51,82.700000,68.266000,5.551454,11,11,4
52,82.700000,67.131000,4.708348,4,11,4
53,82.700000,68.462000,4.725437,2,11,4
54,82.700000,68.328000,4.814438,4,11,4
55,82.700000,68.057000,5.125822,2,11,4
56,82.700000,68.508000,4.948003,3,11,4
57,82.700000,67.634000,5.274983,2,11,4
58,82.700000,68.761000,4.510497,7,11,4
59,82.700000,68.526000,4.576781,2,11,4
60,82.700000,68.211000,5.229931,9,11,4
61,82.700000,68.300000,5.322950,4,11,4
62,82.700000,68.211000,5.005355,2,11,4
63,82.700000,68.039000,4.663173,15,11,4
64,82.700000,67.193000,5.289145,3,11,4
65,82.700000,67.878000,4.988959,9,11,4
66,82.700000,68.039000,6.059206,15,11,4
67,82.700000,68.705000,4.773183,15,11,4
68,82.700000,68.005000,5.249960,15,11,4
69,82.700000,67.400000,5.089578,15,11,4
70,82.700000,68.021000,5.538760,15,11,4
71,82.700000,67.455000,5.372157,15,11,4
72,82.700000,69.191000,4.400798,15,11,4
73,82.700000,69.146000,4.953795,15,11,4
74,82.700000,67.553000,5.168626,8,11,4
75,82.700000,68.094000,4.738287,15,11,4
76,82.700000,68.382000,4.476905,15,11,4
77,82.700000,67.841000,4.862491,15,11,4
78,82.700000,67.940000,5.489262,15,11,4
79,82.700000,68.076000,4.525464,15,11,4
80,82.700000,68.084000,5.707902,15,11,4
81,82.700000,68.400000,5.123065,15,11,4
82,82.700000,68.120000,4.721356,15,11,4
83,82.700000,68.508000,4.991106,15,11,4
84,82.700000,68.030000,4.984245,15,11,4
85,82.700000,68.583000,5.380336,15,11,4
86,83.600000,68.327000,4.675593,3,10,4
87,83.600000,67.806000,5.534651,2,10,4
88,83.600000,68.741000,4.948355,2,10,4
89,83.600000,67.634000,5.144380,4,10,4
90,83.600000,67.895000,5.283813,7,10,4
91,83.600000,67.860000,4.702063,3,10,4
92,83.600000,67.608000,5.634974,3,10,4
93,83.600000,67.904000,5.128137,15,10,4
94,83.600000,67.670000,5.780355,2,10,4
95,84.500000,66.772000,5.456539,4,9,4
96,84.500000,68.286000,5.835924,2,9,4
97,84.500000,67.807000,5.090918,15,9,4
98,84.500000,68.094000,5.132715,4,9,4
99,84.500000,68.273000,4.737549,4,9,4
100,84.500000,68.561000,5.395941,3,9,4
101,84.500000,67.788000,4.723056,15,9,4
102,84.500000,68.075000,4.868950,15,9,4
103,84.500000,67.652000,5.247980,15,9,4
104,84.500000,67.994000,5.030702,15,9,4
105,84.500000,67.787000,5.104286,4,9,4
106,84.500000,67.511000,5.414534,5,9,4
107,84.500000,67.411000,4.622248,15,9,4
108,84.500000,67.544000,4.994343,2,9,4
109,84.500000,67.339000,5.636256,15,9,4
110,84.500000,68.084000,4.743811,11,9,4
111,84.500000,67.735000,5.233648,7,9,4
112,84.500000,67.166000,5.691559,15,9,4
113,84.500000,68.669000,4.407419,7,9,4
114,84.500000,67.320000,5.243396,15,9,4
115,84.500000,67.708000,5.727629,8,9,4
116,84.500000,68.220000,4.834935,15,9,4
117,84.500000,68.319000,5.236844,4,9,4
118,84.500000,67.175000,5.222133,4,9,4
119,84.500000,67.760000,5.099118,8,9,4
120,84.500000,67.358000,5.417918,5,9,4
121,84.500000,68.338000,5.885861,5,9,4
122,84.500000,68.220000,6.018272,13,9,4
123,84.500000,68.005000,5.162487,15,9,4
124,84.500000,68.147000,4.994886,15,9,4
125,84.500000,68.903000,5.134033,15,9,4
126,84.500000,66.923000,5.000397,15,9,4
127,84.500000,68.525000,4.833888,5,9,4
128,84.500000,67.211000,6.322197,5,9,4
129,84.500000,67.564000,5.526220,2,9,4
130,84.500000,67.112000,4.796046,4,9,4
131,84.500000,67.914000,5.326969,5,9,4
132,84.500000,67.562000,4.822153,3,9,4
133,84.500000,67.823000,5.277800,8,9,4
134,84.500000,67.472000,4.912516,15,9,4
135,84.500000,68.147000,4.501899,3,9,4
136,84.500000,68.174000,5.546542,8,9,4
137,84.500000,67.607000,5.747125,13,9,4
138,84.500000,67.211000,5.464557,3,9,4
139,84.500000,67.292000,5.029188,5,9,4
140,84.500000,67.895000,5.279212,3,9,4
141,84.500000,67.202000,4.963204,15,9,4
142,84.500000,67.157000,5.319685,12,9,4
143,84.500000,67.670000,5.854152,15,9,4
144,84.500000,67.355000,5.533902,15,9,4
145,84.500000,67.823000,5.058376,7,9,4
146,84.500000,67.472000,5.491741,5,9,4
147,84.500000,67.473000,4.994454,6,9,4
148,84.500000,68.669000,4.914849,15,9,4
149,84.500000,68.543000,4.822950,15,9,4
150,84.500000,67.744000,5.214544,15,9,4
151,84.500000,67.932000,5.444206,11,9,4
152,84.500000,68.733000,4.396591,6,9,4
153,84.500000,68.239000,4.677027,15,9,4
154,84.500000,68.364000,4.988176,15,9,4
155,84.500000,67.195000,5.512538,15,9,4
156,84.500000,67.933000,5.872156,5,9,4
157,84.500000,67.782000,4.892696,11,9,4
158,84.500000,68.084000,5.574365,4,9,4
159,84.500000,68.059000,5.001522,13,9,4
160,84.500000,67.742000,5.193211,15,9,4
161,84.500000,67.366000,5.613203,2,9,4
162,84.500000,68.543000,4.312221,15,9,4
163,84.500000,68.175000,5.293002,8,9,4
164,84.500000,67.643000,4.780779,6,9,4
165,84.500000,66.689000,5.053314,15,9,4
166,84.500000,67.796000,4.640580,2,9,4
167,84.500000,67.527000,5.384828,15,9,4
168,84.500000,67.076000,5.542889,15,9,4
169,84.500000,68.112000,5.143215,11,9,4
170,84.500000,68.129000,4.679472,15,9,4
171,84.500000,68.273000,5.082339,5,9,4
172,84.500000,68.616000,4.749120,4,9,4
173,84.500000,67.662000,5.152219,7,9,4
174,84.500000,67.985000,4.603876,10,9,4
175,84.500000,67.301000,5.141663,2,9,4
176,84.500000,67.150000,4.776955,7,9,4
177,84.500000,68.346000,4.905414,3,9,4
178,84.500000,68.202000,4.936658,4,9,4
179,84.500000,68.651000,5.396842,15,9,4
180,84.500000,67.454000,4.889610,11,9,4
181,84.500000,68.219000,4.962413,12,9,4
182,84.500000,68.336000,5.611729,7,9,4
183,84.500000,67.564000,5.241365,15,9,4
184,84.500000,67.770000,5.170367,5,9,4
185,84.500000,66.981000,5.458401,15,9,4
186,84.500000,67.572000,4.690780,12,9,4
187,84.500000,68.139000,4.793556,4,9,4
188,84.500000,68.237000,5.424328,15,9,4
189,84.500000,67.465000,5.795091,15,9,4
190,84.500000,68.905000,5.149570,3,9,4
191,84.500000,67.869000,4.966039,15,9,4
192,84.500000,67.646000,4.866671,15,9,4
193,84.500000,68.084000,5.153033,10,9,4
194,84.500000,68.156000,5.333166,10,9,4
195,84.500000,67.221000,5.254927,10,9,4
196,84.500000,67.410000,5.820232,15,9,4
197,84.500000,68.553000,4.915332,15,9,4
198,84.500000,67.274000,5.319936,3,9,4
199,84.500000,67.446000,4.434804,15,9,4
200,84.500000,67.977000,5.028754,3,9,4
201,84.500000,68.561000,5.110693,10,9,4
202,84.500000,67.698000,5.407864,15,9,4
203,84.500000,68.580000,5.028200,3,9,4
204,84.500000,68.093000,5.276879,15,9,4
205,84.500000,68.139000,4.975598,15,9,4
206,84.500000,67.014000,5.199923,15,9,4
207,84.500000,68.437000,5.092792,11,9,4
208,84.500000,67.751000,5.221389,15,9,4
209,84.500000,67.274000,4.942664,8,9,4
210,84.500000,67.932000,4.936859,4,9,4
211,84.500000,68.140000,5.368557,7,9,4
212,84.500000,68.633000,5.047476,4,9,4
213,84.500000,67.329000,5.481100,15,9,4
214,84.500000,67.328000,4.974778,3,9,4
215,84.500000,67.598000,5.523948,6,9,4
216,84.500000,66.854000,5.147959,9,9,4
217,84.500000,68.598000,5.105683,11,9,4
218,84.500000,67.959000,4.937430,15,9,4
219,84.500000,67.358000,5.154012,15,9,4
220,84.500000,66.791000,6.052439,15,9,4
221,84.500000,68.049000,5.387161,15,9,4
222,84.500000,67.823000,5.150415,15,9,4
223,84.500000,67.706000,6.187420,10,9,4
224,84.500000,67.473000,4.806014,4,9,4
225,84.500000,67.653000,5.610962,4,9,4
226,84.500000,68.381000,5.440491,15,9,4
227,84.500000,68.336000,5.392375,15,9,4
228,84.500000,67.625000,4.943245,7,9,4
229,84.500000,68.106000,5.829165,10,9,4
230,84.500000,67.779000,5.070134,10,9,4
231,84.500000,68.040000,5.452247,2,9,4
232,84.500000,67.355000,5.428985,15,9,4
233,84.500000,69.398000,5.457563,15,9,4
234,84.500000,67.535000,4.305679,6,9,4
235,84.500000,67.221000,5.704144,2,9,4
236,84.500000,67.968000,5.125405,10,9,4
237,84.500000,67.167000,5.324792,4,9,4
238,84.500000,67.905000,5.401896,9,9,4
239,84.500000,66.734000,5.360284,12,9,4
240,84.500000,66.987000,5.561954,2,9,4
241,84.500000,67.663000,5.420658,11,9,4
242,84.500000,68.372000,4.741352,15,9,4
243,84.500000,68.634000,5.043495,15,9,4
244,84.500000,67.608000,4.961264,4,9,4
245,84.500000,67.589000,5.497070,11,9,4
246,84.500000,67.275000,4.797069,7,9,4
247,84.500000,68.076000,5.108055,4,9,4
248,84.500000,68.715000,4.932127,15,9,4
249,84.500000,67.670000,5.355567,3,9,4
250,84.500000,68.176000,5.530680,15,9,4
251,84.500000,67.796000,5.142333,15,9,4
252,84.500000,68.345000,5.077428,15,9,4
253,84.500000,67.428000,5.317557,15,9,4
254,84.500000,67.022000,5.153127,15,9,4
255,84.500000,67.680000,5.637287,9,9,4
256,84.500000,68.716000,4.603601,15,9,4
257,84.500000,67.985000,5.183211,4,9,4
258,84.500000,68.022000,5.276354,3,9,4
259,84.500000,68.489000,4.873805,15,9,4
260,84.500000,67.464000,5.114851,15,9,4
261,84.500000,67.761000,4.949846,15,9,4
262,84.500000,67.509000,5.302360,3,9,4
263,84.500000,68.372000,5.127126,10,9,4
264,84.500000,68.390000,5.002090,15,9,4
265,84.500000,68.786000,4.847350,15,9,4
266,84.500000,66.663000,5.305557,5,9,4
267,84.500000,66.978000,5.288451,6,9,4
268,84.500000,67.796000,5.498580,15,9,4
269,84.500000,67.635000,5.637985,10,9,4
270,84.500000,68.049000,4.942459,8,9,4
271,84.500000,67.599000,5.100010,8,9,4
272,84.500000,67.958000,5.304322,8,9,4
273,84.500000,67.365000,5.321661,11,9,4
274,84.500000,67.518000,6.641843,15,9,4
275,84.500000,67.501000,4.599685,15,9,4
276,84.500000,68.696000,5.078935,3,9,4
277,84.500000,67.140000,4.780460,2,9,4
278,84.500000,67.906000,5.001256,4,9,4
279,84.500000,68.959000,4.864691,4,9,4
280,84.500000,67.499000,4.993005,13,9,4
281,84.500000,67.715000,5.232980,10,9,4
282,84.500000,68.633000,4.693230,15,9,4
283,84.500000,67.752000,5.238883,9,9,4
284,84.500000,67.932000,5.036127,4,9,4
285,84.500000,67.734000,5.016657,3,9,4
286,84.500000,68.795000,5.315908,9,9,4
287,84.500000,68.048000,5.011117,13,9,4
288,84.500000,68.328000,4.564364,13,9,4
289,84.500000,67.490000,5.147339,8,9,4
