Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,180.800000,169.460000,5.569829,0,38,5
1,180.800000,168.515000,6.741445,15,38,5
2,185.300000,168.335000,6.321019,15,33,5
3,186.200000,171.917000,5.777769,15,32,5
4,186.200000,170.585000,6.341488,15,32,5
5,186.200000,169.910000,7.110000,15,32,5
6,186.200000,170.234000,6.830069,5,32,5
7,186.200000,169.703000,6.346187,8,32,5
8,186.200000,169.064000,6.172609,15,32,5
9,186.200000,170.306000,6.517666,6,32,5
10,188.900000,172.187000,6.956546,3,29,5
11,188.900000,169.361000,7.234002,3,29,5
12,188.900000,170.198000,6.750096,3,29,5
13,188.900000,170.270000,7.978590,2,29,5
14,189.800000,169.586000,6.992739,15,28,5
15,189.800000,169.451000,7.232434,15,28,5
16,189.800000,170.549000,6.593868,15,28,5
17,196.100000,169.595000,6.972967,3,21,5
18,196.100000,169.946000,7.693626,15,21,5
19,196.100000,169.631000,7.331653,15,21,5
20,196.100000,169.803000,7.372007,2,21,5
21,196.100000,170.504000,7.719377,12,21,5
22,196.100000,170.153000,7.146992,3,21,5
23,196.100000,170.450000,6.243821,2,21,5
24,196.100000,169.595000,7.707884,5,21,5
25,196.100000,168.002000,7.129432,15,21,5
26,196.100000,169.316000,6.476399,2,21,5
27,196.100000,169.532000,6.855945,2,21,5
28,196.100000,170.297000,6.408423,4,21,5
29,196.100000,168.992000,7.476265,2,21,5
30,196.100000,169.154000,7.263641,7,21,5
31,196.100000,169.694000,6.699072,2,21,5
32,196.100000,170.081000,7.091286,3,21,5
33,196.100000,169.136000,7.260407,3,21,5
34,196.100000,170.306000,6.311843,4,21,5
35,196.100000,170.234000,6.646145,15,21,5
36,196.100000,169.523000,7.775974,8,21,5
37,196.100000,170.360000,6.905997,11,21,5
38,196.100000,169.055000,7.286527,15,21,5
39,196.100000,170.081000,7.016647,15,21,5
40,196.100000,170.000000,6.727763,15,21,5
41,196.100000,169.010000,7.059695,2,21,5
42,196.100000,169.487000,6.847403,11,21,5
43,196.100000,170.540000,6.645389,4,21,5
44,196.100000,169.397000,7.313911,2,21,5
45,196.100000,170.351000,7.153607,15,21,5
46,196.100000,169.577000,7.362919,4,21,5
47,196.100000,169.532000,7.256568,4,21,5
48,196.100000,170.378000,7.657070,2,21,5
49,196.100000,170.459000,7.089458,2,21,5
50,196.100000,170.036000,6.799522,2,21,5
51,196.100000,169.946000,7.776354,2,21,5
52,196.100000,170.090000,6.606883,7,21,5
53,196.100000,168.776000,8.194963,2,21,5
54,196.100000,169.505000,7.124653,7,21,5
55,196.100000,170.549000,7.833511,2,21,5
56,196.100000,169.667000,6.846693,6,21,5
57,196.100000,168.218000,7.684314,8,21,5
58,196.100000,169.433000,7.586370,4,21,5
59,196.100000,169.398000,7.337711,2,21,5
60,196.100000,169.334000,8.072574,4,21,5
61,196.100000,170.873000,7.059644,4,21,5
62,196.100000,169.631000,6.781839,2,21,5
63,196.100000,169.532000,7.018246,2,21,5
64,196.100000,170.504000,7.028441,3,21,5
65,196.100000,169.955000,6.897048,2,21,5
66,196.100000,169.361000,7.804920,5,21,5
67,196.100000,169.649000,7.224590,4,21,5
68,196.100000,170.594000,7.570942,2,21,5
69,196.100000,169.748000,8.758327,2,21,5
70,196.100000,169.982000,7.228048,5,21,5
71,196.100000,170.162000,7.027358,2,21,5
72,196.100000,169.226000,7.385508,6,21,5
73,196.100000,169.334000,7.253375,3,21,5
74,196.100000,169.937000,6.955381,2,21,5
75,196.100000,171.098000,6.657056,5,21,5
76,196.100000,171.143000,6.711919,5,21,5
77,196.100000,169.802000,7.143052,7,21,5
78,196.100000,169.307000,6.885859,2,21,5
79,196.100000,170.351000,7.225711,3,21,5
80,196.100000,170.045000,7.276515,2,21,5
81,196.100000,170.189000,7.368241,4,21,5
82,196.100000,171.107000,6.771990,3,21,5
83,196.100000,169.676000,7.489514,15,21,5
84,196.100000,169.145000,7.289861,4,21,5
85,196.100000,169.757000,7.078436,5,21,5
86,196.100000,170.549000,6.620838,3,21,5
87,196.100000,170.342000,7.135337,10,21,5
88,196.100000,169.343000,7.356755,4,21,5
89,196.100000,170.882000,6.619719,15,21,5
90,196.100000,169.073000,7.139508,4,21,5
91,196.100000,169.982000,6.589057,2,21,5
92,196.100000,169.865000,7.581799,2,21,5
93,196.100000,169.487000,7.390151,3,21,5
94,196.100000,169.397000,7.550410,3,21,5
95,196.100000,167.984000,7.613511,2,21,5
96,196.100000,169.523000,7.029749,13,21,5
97,196.100000,170.387000,7.371494,2,21,5
98,196.100000,169.217000,7.614080,5,21,5
99,196.100000,169.433000,7.128381,11,21,5
100,196.100000,170.162000,6.481725,2,21,5
101,196.100000,170.495000,6.605503,2,21,5
102,196.100000,169.847000,6.799683,2,21,5
103,196.100000,170.036000,7.141170,7,21,5
104,196.100000,169.217000,7.407011,2,21,5
105,196.100000,170.342000,6.843291,3,21,5
106,196.100000,169.361000,7.869001,7,21,5
107,196.100000,169.919000,7.260602,2,21,5
108,196.100000,169.307000,7.396286,4,21,5
109,196.100000,169.694000,7.812104,2,21,5
110,196.100000,170.090000,6.801404,2,21,5
111,196.100000,169.703000,7.286171,2,21,5
112,196.100000,170.099000,6.925785,3,21,5
113,196.100000,169.199000,7.847974,2,21,5
114,196.100000,171.161000,6.782078,2,21,5
115,196.100000,168.056000,7.864290,12,21,5
116,196.100000,170.441000,7.379446,2,21,5
117,196.100000,170.657000,6.575367,4,21,5
118,196.100000,169.316000,7.526842,5,21,5
119,196.100000,170.585000,6.741445,3,21,5
120,196.100000,170.027000,6.836986,2,21,5
121,196.100000,168.371000,6.681486,3,21,5
122,196.100000,170.216000,6.988916,2,21,5
123,196.100000,170.162000,6.962511,5,21,5
124,196.100000,171.071000,6.912674,5,21,5
125,196.100000,170.198000,6.858425,2,21,5
126,196.100000,170.387000,6.759300,2,21,5
127,196.100000,169.883000,6.610750,4,21,5
128,196.100000,168.776000,7.433063,3,21,5
129,196.100000,169.316000,6.819981,2,21,5
130,196.100000,170.864000,6.417095,2,21,5
131,196.100000,169.550000,6.827554,3,21,5
132,196.100000,169.685000,6.158756,2,21,5
133,196.100000,170.351000,7.483428,2,21,5
134,196.100000,170.810000,7.395898,4,21,5
135,196.100000,169.307000,7.029058,4,21,5
136,196.100000,170.558000,7.028971,2,21,5
137,196.100000,170.846000,6.942052,2,21,5
138,196.100000,170.522000,6.825988,2,21,5
139,196.100000,170.351000,7.107032,3,21,5
140,196.100000,170.594000,7.133566,2,21,5
141,196.100000,169.964000,7.056735,3,21,5
142,196.100000,170.306000,6.374415,7,21,5
143,196.100000,169.938000,7.100870,2,21,5
144,196.100000,169.838000,7.073313,3,21,5
145,196.100000,168.965000,7.916292,2,21,5
146,196.100000,169.766000,7.156692,2,21,5
147,196.100000,169.937000,7.362699,2,21,5
148,196.100000,170.243000,6.871728,2,21,5
149,196.100000,169.865000,6.722193,2,21,5
150,196.100000,170.666000,7.342169,2,21,5
151,196.100000,169.109000,6.434207,2,21,5
152,196.100000,170.207000,7.310366,2,21,5
153,196.100000,171.098000,7.335502,2,21,5
154,196.100000,170.684000,7.530069,3,21,5
155,196.100000,168.533000,7.703974,5,21,5
156,196.100000,170.423000,7.437350,2,21,5
157,196.100000,168.506000,6.885112,15,21,5
158,196.100000,168.686000,7.593590,3,21,5
159,196.100000,169.046000,7.299239,3,21,5
160,196.100000,171.080000,6.779336,2,21,5
161,196.100000,168.749000,7.254798,2,21,5
162,196.100000,170.513000,6.547468,2,21,5
163,196.100000,168.650000,7.174643,5,21,5
164,196.100000,170.711000,7.445883,3,21,5
165,196.100000,170.540000,6.845918,3,21,5
166,196.100000,169.568000,7.848578,7,21,5
167,196.100000,169.361000,7.245190,4,21,5
168,196.100000,169.586000,7.049270,5,21,5
169,196.100000,170.180000,7.228070,4,21,5
170,196.100000,169.316000,7.339410,2,21,5
171,196.100000,169.541000,6.861867,5,21,5
172,196.100000,169.208000,7.980397,3,21,5
173,196.100000,169.865000,7.536795,2,21,5
174,196.100000,169.820000,7.424864,5,21,5
175,196.100000,170.045000,6.938031,5,21,5
176,196.100000,170.387000,6.951887,2,21,5
177,196.100000,168.947000,6.838881,7,21,5
178,196.100000,169.397000,7.135649,2,21,5
179,196.100000,170.225000,7.139417,2,21,5
180,196.100000,169.712000,8.033608,2,21,5
181,196.100000,170.774000,7.339300,2,21,5
182,196.100000,169.982000,8.044792,2,21,5
183,196.100000,170.459000,7.481913,15,21,5
184,196.100000,168.398000,7.315599,4,21,5
185,196.100000,169.721000,7.412520,3,21,5
186,196.100000,169.550000,7.672203,2,21,5
187,196.100000,169.901000,7.040618,5,21,5
188,196.100000,170.342000,7.381953,3,21,5
189,196.100000,169.451000,7.447624,2,21,5
190,196.100000,170.199000,7.313118,2,21,5
191,196.100000,169.577000,6.977705,3,21,5
192,196.100000,170.225000,7.134877,2,21,5
193,196.100000,168.830000,6.999779,5,21,5
194,196.100000,171.269000,7.549380,2,21,5
195,196.100000,169.568000,6.703012,2,21,5
196,196.100000,170.675000,7.149621,6,21,5
197,196.100000,170.018000,6.824564,2,21,5
198,196.100000,168.173000,7.732100,3,21,5
199,196.100000,170.207000,7.277050,2,21,5
200,196.100000,169.658000,6.872819,11,21,5
201,196.100000,169.271000,7.368681,3,21,5
202,196.100000,169.955000,7.368329,3,21,5
203,196.100000,170.900000,7.439032,15,21,5
204,196.100000,171.107000,6.452259,3,21,5
205,196.100000,169.199000,7.434561,3,21,5
206,196.100000,170.513000,7.229477,2,21,5
207,196.100000,169.496000,7.938714,6,21,5
208,196.100000,170.405000,6.925177,3,21,5
209,196.100000,170.091000,7.461797,3,21,5
210,196.100000,169.451000,7.566313,2,21,5
211,196.100000,169.856000,7.750165,3,21,5
212,196.100000,168.632000,6.872465,4,21,5
213,196.100000,169.289000,7.671987,3,21,5
214,196.100000,170.828000,7.264600,2,21,5
215,196.100000,168.839000,7.318605,7,21,5
216,196.100000,170.711000,7.042228,3,21,5
217,196.100000,170.639000,7.097223,11,21,5
218,196.100000,169.424000,6.723572,5,21,5
219,196.100000,169.739000,7.974320,2,21,5
220,196.100000,169.460000,7.215733,6,21,5
221,196.100000,170.621000,6.731007,2,21,5
222,196.100000,170.009000,7.009024,2,21,5
223,196.100000,170.333000,7.101057,2,21,5
224,196.100000,169.658000,7.020900,2,21,5
225,196.100000,169.685000,6.959014,2,21,5
226,196.100000,170.442000,7.381222,2,21,5
227,196.100000,170.999000,6.579111,2,21,5
228,196.100000,169.730000,7.549815,2,21,5
229,196.100000,169.145000,7.571108,2,21,5
230,196.100000,169.406000,7.169809,2,21,5
231,196.100000,168.543000,7.882376,4,21,5
232,196.100000,168.947000,7.279498,2,21,5
233,196.100000,170.495000,6.317173,2,21,5
234,196.100000,169.685000,7.285415,4,21,5
235,196.100000,168.623000,7.202761,5,21,5
236,196.100000,168.488000,7.499630,2,21,5
237,196.100000,170.045000,7.270947,2,21,5
238,196.100000,169.289000,7.625390,2,21,5
