Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,429.400000,414.667000,5.969457,0,30,11
1,429.400000,415.667000,5.461136,5,30,11
2,429.400000,415.099000,5.813046,15,30,11
3,429.400000,414.722000,5.588964,6,30,11
4,429.400000,415.342000,6.508413,15,30,11
5,429.400000,415.270000,6.766779,9,30,11
6,430.300000,414.686000,6.360252,15,29,11
7,430.300000,414.775000,5.882965,15,29,11
8,430.300000,414.793000,5.905612,6,29,11
9,430.300000,415.027000,7.209506,2,29,11
10,435.700000,414.658000,6.781463,7,23,11
11,435.700000,414.757000,6.674403,15,23,11
12,435.700000,416.341000,6.068824,10,23,11
13,435.700000,414.784000,7.016676,15,23,11
14,435.700000,415.666000,6.668046,15,23,11
15,435.700000,415.099000,6.235247,15,23,11
16,435.700000,414.910000,6.739191,15,23,11
17,435.700000,413.866000,6.576309,15,23,11
18,435.700000,415.045000,7.037718,15,23,11
19,435.700000,414.982000,7.742072,15,23,11
20,435.700000,413.470000,6.436731,15,23,11
21,435.700000,415.099000,6.525956,12,23,11
22,435.700000,415.000000,6.946927,15,23,11
23,435.700000,415.378000,6.635851,15,23,11
24,435.700000,414.820000,6.725355,15,23,11
25,435.700000,414.650000,6.957737,15,23,11
26,435.700000,414.172000,7.325668,8,23,11
27,435.700000,415.261000,6.447789,15,23,11
28,435.700000,414.658000,7.110319,15,23,11
29,435.700000,414.883000,6.742982,15,23,11
30,435.700000,414.956000,6.703302,7,23,11
31,435.700000,416.458000,6.739528,15,23,11
32,435.700000,415.000000,6.217170,13,23,11
33,435.700000,415.540000,6.206738,15,23,11
34,435.700000,414.964000,6.727667,6,23,11
35,435.700000,414.478000,6.833104,4,23,11
36,435.700000,415.297000,6.378016,7,23,11
37,435.700000,414.964000,6.249552,11,23,11
38,435.700000,414.010000,6.845327,5,23,11
39,435.700000,414.802000,6.771661,9,23,11
40,435.700000,414.757000,6.967715,10,23,11
41,435.700000,414.172000,6.824208,6,23,11
42,435.700000,415.216000,6.890874,15,23,11
43,435.700000,414.127000,6.379794,13,23,11
44,435.700000,414.640000,7.286110,6,23,11
45,435.700000,413.966000,6.896814,15,23,11
46,435.700000,413.596000,7.417573,8,23,11
47,435.700000,414.667000,6.407918,15,23,11
48,435.700000,415.189000,6.633550,9,23,11
49,435.700000,414.129000,6.785459,2,23,11
50,435.700000,414.524000,7.607314,6,23,11
51,440.200000,414.316000,7.262861,3,18,11
52,440.200000,415.207000,6.579062,2,18,11
53,440.200000,414.505000,6.884118,2,18,11
54,440.200000,415.891000,6.229528,3,18,11
55,440.200000,415.342000,6.953663,3,18,11
56,440.200000,413.308000,7.917218,4,18,11
57,440.200000,414.613000,6.535085,2,18,11
58,440.200000,414.541000,6.810919,2,18,11
59,440.200000,415.306000,7.414187,2,18,11
60,440.200000,414.658000,6.447142,2,18,11
61,440.200000,414.730000,6.237331,3,18,11
62,440.200000,414.722000,6.906599,3,18,11
63,440.200000,415.144000,6.494633,2,18,11
64,440.200000,415.558000,6.345836,3,18,11
65,440.200000,415.468000,7.103138,2,18,11
66,440.200000,413.740000,6.798426,2,18,11
67,440.200000,414.919000,6.783033,2,18,11
68,440.200000,414.577000,7.500251,2,18,11
69,440.200000,415.153000,7.186549,4,18,11
70,440.200000,414.532000,6.566276,2,18,11
71,440.200000,414.406000,6.874516,3,18,11
72,440.200000,415.072000,6.494584,2,18,11
73,440.200000,415.000000,6.618519,2,18,11
74,440.200000,414.730000,7.559464,2,18,11
75,440.200000,413.731000,7.023570,3,18,11
76,440.200000,413.560000,7.075168,2,18,11
77,440.200000,413.947000,7.032744,2,18,11
78,440.200000,414.730000,7.529402,2,18,11
79,440.200000,414.784000,6.480150,2,18,11
80,440.200000,415.369000,6.729082,2,18,11
81,440.200000,415.360000,6.454952,4,18,11
82,440.200000,415.423000,7.058496,2,18,11
83,440.200000,415.144000,6.825442,2,18,11
84,440.200000,414.640000,6.855377,2,18,11
85,440.200000,414.865000,6.668964,2,18,11
86,440.200000,414.748000,6.936519,2,18,11
87,440.200000,414.685000,7.226249,2,18,11
88,440.200000,414.415000,7.302073,2,18,11
89,440.200000,415.865000,6.158756,2,18,11
90,440.200000,415.297000,6.957477,3,18,11
91,440.200000,414.586000,6.435371,2,18,11
92,440.200000,414.919000,7.170798,2,18,11
93,440.200000,414.766000,7.020715,2,18,11
94,440.200000,415.261000,6.783272,2,18,11
95,440.200000,415.459000,6.124624,2,18,11
96,440.200000,415.081000,6.553452,3,18,11
97,440.200000,414.388000,6.429654,2,18,11
98,440.200000,414.937000,6.443969,2,18,11
99,440.200000,413.902000,6.786000,2,18,11
100,440.200000,414.973000,6.269655,4,18,11
101,440.200000,413.965000,6.946199,2,18,11
102,440.200000,414.100000,6.950424,2,18,11
103,440.200000,415.135000,6.535233,3,18,11
104,440.200000,414.478000,7.872999,2,18,11
105,440.200000,414.973000,6.581031,2,18,11
106,440.200000,415.162000,6.797688,4,18,11
107,440.200000,413.336000,7.435678,3,18,11
108,440.200000,415.199000,6.826573,2,18,11
109,440.200000,414.479000,6.658953,4,18,11
110,440.200000,414.136000,7.394167,2,18,11
111,440.200000,415.162000,6.564919,2,18,11
112,440.200000,414.235000,6.991529,2,18,11
113,440.200000,413.830000,6.938177,2,18,11
114,440.200000,414.415000,6.178452,4,18,11
115,440.200000,415.171000,6.457078,2,18,11
116,440.200000,415.180000,7.401919,2,18,11
117,440.200000,413.742000,7.440594,2,18,11
118,440.200000,414.613000,6.793963,2,18,11
119,440.200000,415.064000,6.986237,2,18,11
120,440.200000,415.927000,6.898317,2,18,11
121,440.200000,413.390000,7.298637,4,18,11
122,440.200000,414.496000,7.254156,2,18,11
123,440.200000,414.865000,6.791721,3,18,11
124,440.200000,415.036000,7.538455,3,18,11
125,440.200000,413.416000,7.438074,5,18,11
126,440.200000,415.541000,6.777803,2,18,11
127,440.200000,415.297000,7.049999,2,18,11
128,440.200000,414.550000,6.360778,2,18,11
129,440.200000,415.081000,6.380606,2,18,11
130,440.200000,415.135000,7.304292,3,18,11
131,440.200000,414.433000,6.180130,2,18,11
132,440.200000,415.820000,6.613758,2,18,11
133,440.200000,416.215000,6.455422,2,18,11
134,440.200000,416.233000,7.369736,2,18,11
135,440.200000,414.568000,6.368389,2,18,11
136,440.200000,415.333000,6.406654,2,18,11
137,440.200000,414.991000,6.584772,2,18,11
138,440.200000,414.847000,6.777012,2,18,11
139,440.200000,415.486000,6.418988,2,18,11
140,440.200000,415.666000,7.617233,2,18,11
141,440.200000,415.054000,6.004855,2,18,11
142,440.200000,414.489000,6.797969,2,18,11
143,440.200000,414.145000,6.852275,2,18,11
144,440.200000,414.325000,6.879409,2,18,11
145,440.200000,416.008000,6.979823,2,18,11
146,440.200000,414.379000,7.006944,2,18,11
147,440.200000,415.531000,6.496348,3,18,11
148,440.200000,414.208000,7.298639,2,18,11
149,440.200000,414.298000,6.653405,2,18,11
150,440.200000,414.424000,7.390441,2,18,11
151,440.200000,414.991000,7.017109,2,18,11
152,440.200000,415.270000,6.348031,3,18,11
153,440.200000,415.666000,6.439398,2,18,11
154,440.200000,414.757000,7.077291,2,18,11
155,440.200000,414.532000,7.637262,2,18,11
156,440.200000,415.630000,6.913617,2,18,11
157,440.200000,415.450000,6.060817,2,18,11
158,440.200000,414.253000,7.005048,3,18,11
159,440.200000,414.388000,6.974715,2,18,11
160,440.200000,414.703000,6.625926,2,18,11
161,440.200000,415.153000,6.893148,2,18,11
162,440.200000,413.965000,6.701677,2,18,11
163,440.200000,415.252000,7.112939,2,18,11
164,440.200000,414.532000,6.823971,3,18,11
165,440.200000,415.180000,7.100310,2,18,11
166,440.200000,414.847000,6.962133,3,18,11
167,440.200000,415.423000,7.525050,3,18,11
168,440.200000,413.776000,7.311103,2,18,11
169,440.200000,414.532000,6.838200,3,18,11
170,440.200000,415.513000,7.002966,2,18,11
171,440.200000,414.901000,7.002549,15,18,11
172,440.200000,415.180000,6.756597,3,18,11
173,440.200000,415.513000,6.920356,2,18,11
174,440.200000,415.234000,6.568915,2,18,11
175,440.200000,414.946000,6.299769,2,18,11
176,440.200000,414.244000,6.085118,2,18,11
177,440.200000,414.433000,7.048391,2,18,11
178,440.200000,415.315000,6.972967,2,18,11
179,440.200000,415.018000,6.852990,2,18,11
180,440.200000,415.460000,6.315980,2,18,11
181,440.200000,415.261000,6.987960,2,18,11
182,440.200000,414.649000,6.979377,4,18,11
183,440.200000,415.504000,6.415075,2,18,11
184,440.200000,413.668000,6.745174,7,18,11
185,440.200000,415.657000,6.685316,2,18,11
186,440.200000,414.235000,8.011896,2,18,11
187,440.200000,415.126000,7.423794,3,18,11
188,440.200000,416.026000,6.029355,2,18,11
189,440.200000,413.867000,6.846168,2,18,11
190,440.200000,416.188000,6.448524,2,18,11
191,440.200000,414.136000,6.957320,3,18,11
192,440.200000,416.296000,5.967645,2,18,11
193,440.200000,415.468000,6.332675,3,18,11
194,440.200000,414.793000,6.563037,3,18,11
195,440.200000,414.532000,6.204754,2,18,11
196,440.200000,414.901000,6.507311,2,18,11
197,440.200000,414.299000,6.727905,2,18,11
198,440.200000,414.928000,6.648655,2,18,11
199,440.200000,415.001000,7.210624,2,18,11
200,440.200000,415.315000,6.282458,2,18,11
201,440.200000,415.162000,6.922843,2,18,11
202,440.200000,414.091000,6.881905,2,18,11
203,440.200000,414.874000,6.398259,4,18,11
204,440.200000,415.333000,6.955847,2,18,11
205,440.200000,414.748000,6.481350,2,18,11
206,440.200000,415.837000,7.193534,2,18,11
207,440.200000,415.252000,7.060361,2,18,11
208,440.200000,415.576000,7.065453,2,18,11
209,440.200000,415.531000,6.483868,2,18,11
210,440.200000,415.172000,6.996643,2,18,11
211,440.200000,415.666000,7.112415,2,18,11
212,440.200000,414.847000,6.769837,2,18,11
213,440.200000,414.568000,6.386171,2,18,11
214,440.200000,415.522000,6.882711,2,18,11
215,440.200000,415.135000,6.666534,2,18,11
216,440.200000,415.018000,7.098005,4,18,11
217,440.200000,414.559000,6.439241,2,18,11
218,440.200000,414.460000,6.876613,2,18,11
219,440.200000,414.721000,7.235569,2,18,11
220,440.200000,414.460000,7.747322,2,18,11
221,440.200000,414.874000,6.815110,4,18,11
222,440.200000,414.848000,6.530183,2,18,11
223,440.200000,414.901000,6.651353,9,18,11
