Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,1429.100000,1402.442000,9.862111,0,102,13
1,1429.100000,1403.171000,9.870251,3,102,13
2,1429.100000,1403.630000,11.202379,4,102,13
3,1429.100000,1403.576000,10.941217,5,102,13
4,1431.800000,1404.197000,10.560383,2,99,13
5,1431.800000,1404.944000,11.081862,7,99,13
6,1436.300000,1403.513000,10.888330,4,94,13
7,1436.300000,1404.638000,10.207270,3,94,13
8,1436.300000,1403.990000,9.974583,7,94,13
9,1436.300000,1403.369000,11.756698,2,94,13
10,1436.300000,1405.052000,10.548123,3,94,13
11,1436.300000,1402.955000,11.535020,4,94,13
12,1436.300000,1402.640000,11.062314,2,94,13
13,1436.300000,1403.018000,12.777452,3,94,13
14,1436.300000,1404.116000,11.081423,13,94,13
15,1436.300000,1403.585000,10.839210,4,94,13
16,1436.300000,1402.676000,10.917501,3,94,13
17,1436.300000,1404.260000,11.056455,3,94,13
18,1436.300000,1403.972000,10.961305,11,94,13
19,1436.300000,1403.162000,10.634009,3,94,13
20,1436.300000,1405.412000,12.138248,4,94,13
21,1436.300000,1405.259000,10.392950,3,94,13
22,1436.300000,1403.990000,8.428826,3,94,13
23,1436.300000,1402.955000,11.451859,3,94,13
24,1436.300000,1404.899000,11.046850,3,94,13
25,1436.300000,1402.100000,10.538074,3,94,13
26,1436.300000,1404.026000,10.057491,2,94,13
27,1436.300000,1402.586000,10.947804,3,94,13
28,1436.300000,1403.126000,11.029330,3,94,13
29,1436.300000,1403.837000,11.686322,2,94,13
30,1438.100000,1403.297000,11.660510,7,92,13
31,1438.100000,1403.819000,10.620072,11,92,13
32,1438.100000,1404.152000,12.161714,3,92,13
33,1438.100000,1402.532000,11.351765,15,92,13
34,1438.100000,1405.385000,11.547652,15,92,13
35,1438.100000,1404.134000,12.137407,15,92,13
36,1438.100000,1402.307000,11.911904,15,92,13
37,1438.100000,1403.162000,12.896959,3,92,13
38,1438.100000,1403.864000,10.693667,2,92,13
39,1438.100000,1404.656000,11.232144,2,92,13
40,1438.100000,1404.368000,11.303857,4,92,13
41,1438.100000,1404.107000,11.664538,7,92,13
42,1438.100000,1405.745000,10.323259,10,92,13
43,1438.100000,1404.143000,11.852597,15,92,13
44,1438.100000,1403.387000,11.735431,3,92,13
45,1438.100000,1402.910000,10.746995,15,92,13
46,1438.100000,1403.693000,11.416779,3,92,13
47,1438.100000,1402.127000,11.405138,15,92,13
48,1438.100000,1403.846000,10.688287,2,92,13
