Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,196.000000,188.180000,3.728619,0,16,10
1,196.000000,187.232500,3.902444,2,16,10
2,196.750000,188.595000,4.436184,5,15,10
3,196.750000,187.765000,4.274316,15,15,10
4,196.750000,188.605000,3.909632,15,15,10
5,196.750000,188.175000,4.211665,15,15,10
6,200.500000,188.065000,4.382012,15,10,10
7,200.500000,187.870000,3.705988,2,10,10
8,200.500000,188.507500,4.108597,15,10,10
9,200.500000,188.602500,4.143835,15,10,10
10,200.500000,188.732500,4.095158,15,10,10
11,200.500000,188.487500,3.730512,15,10,10
12,200.500000,188.192500,3.582920,15,10,10
13,200.500000,188.005000,4.501525,15,10,10
14,200.500000,187.947500,4.364959,7,10,10
15,200.500000,188.682500,3.697272,15,10,10
16,200.500000,188.085000,3.852308,10,10,10
17,200.500000,188.230000,4.336427,15,10,10
18,200.500000,187.935000,4.017558,8,10,10
19,200.500000,188.045000,4.148551,4,10,10
20,200.500000,188.675000,4.378998,7,10,10
21,200.500000,188.455000,4.032118,15,10,10
22,200.500000,188.800000,3.840410,4,10,10
23,200.500000,188.235000,4.021943,13,10,10
24,200.500000,187.945000,4.489513,2,10,10
25,200.500000,188.820000,4.415467,6,10,10
26,200.500000,187.925000,4.074693,10,10,10
27,200.500000,188.035000,4.147141,8,10,10
28,200.500000,188.460000,3.679287,15,10,10
29,200.500000,188.262500,4.040324,4,10,10
30,200.500000,188.185000,3.926611,4,10,10
31,200.500000,188.097500,3.755978,4,10,10
32,200.500000,188.355000,4.042459,4,10,10
33,200.500000,188.257500,4.172747,4,10,10
34,200.500000,188.340000,3.938039,15,10,10
35,200.500000,187.775000,4.241094,3,10,10
36,200.500000,187.207500,4.231290,15,10,10
37,200.500000,187.810000,3.963919,13,10,10
38,200.500000,188.282500,4.759944,8,10,10
39,200.500000,188.387500,4.061615,3,10,10
40,200.500000,188.610000,3.897166,8,10,10
41,200.500000,188.562500,4.365114,6,10,10
42,200.500000,187.697500,4.572239,7,10,10
43,200.500000,188.522500,3.954601,3,10,10
44,200.500000,188.750000,3.998750,9,10,10
45,200.500000,188.837500,4.039860,7,10,10
46,200.500000,188.367500,4.000384,15,10,10
47,200.500000,188.875000,4.030741,7,10,10
48,200.500000,188.810000,4.015613,15,10,10
49,200.500000,188.225000,3.883378,15,10,10
50,200.500000,188.340000,4.060868,8,10,10
51,200.500000,187.827500,4.016325,4,10,10
52,200.500000,188.787500,4.214317,15,10,10
53,200.500000,188.685000,4.186678,10,10,10
54,200.500000,188.127500,4.297164,3,10,10
55,200.500000,188.600000,3.572289,4,10,10
56,200.500000,187.932500,4.508444,2,10,10
57,200.500000,188.617500,4.129839,5,10,10
58,200.500000,188.130000,4.026705,3,10,10
59,200.500000,188.052500,3.822188,8,10,10
60,200.500000,188.687500,3.786386,5,10,10
61,200.500000,188.070000,4.010935,5,10,10
62,200.500000,188.225000,3.918944,4,10,10
63,200.500000,188.465000,3.937007,2,10,10
64,200.500000,188.320000,4.221978,2,10,10
65,200.500000,188.050000,3.857946,4,10,10
66,200.500000,188.030000,4.138279,3,10,10
67,200.500000,187.412500,4.160134,3,10,10
68,200.500000,188.257500,3.779460,3,10,10
69,200.500000,188.110000,3.936578,15,10,10
70,200.500000,188.422500,4.004013,2,10,10
71,200.500000,188.140000,4.005983,5,10,10
72,200.500000,188.135000,3.773496,11,10,10
73,200.500000,188.487500,3.374792,2,10,10
74,200.500000,188.275000,3.812725,2,10,10
75,200.500000,188.575000,4.260942,3,10,10
76,200.500000,188.435000,4.080230,3,10,10
77,200.500000,188.110000,3.996611,7,10,10
78,200.500000,188.317500,4.064766,2,10,10
79,200.500000,188.260000,4.043346,7,10,10
80,200.500000,188.375000,4.007883,3,10,10
81,200.500000,188.250000,4.001406,4,10,10
