Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,135.600000,117.798000,6.539205,0,26,4
1,135.600000,118.203000,5.549513,15,26,4
2,135.600000,117.402000,6.285300,15,26,4
3,135.600000,119.013000,5.615098,15,26,4
4,135.600000,118.014000,6.204676,15,26,4
5,135.600000,119.283000,5.906709,15,26,4
6,135.600000,118.779000,6.049038,15,26,4
7,135.600000,117.474000,5.822965,15,26,4
8,135.600000,119.454000,5.886330,15,26,4
9,135.600000,117.447000,5.610480,15,26,4
10,135.600000,116.862000,7.298750,8,26,4
11,135.600000,118.770000,5.254798,11,26,4
12,135.600000,117.105000,6.358072,12,26,4
13,135.600000,117.060000,5.894828,15,26,4
14,135.600000,117.582000,5.916745,15,26,4
15,135.600000,117.951000,6.078692,7,26,4
16,135.600000,118.815000,6.171894,5,26,4
17,135.600000,117.861000,6.037779,4,26,4
18,135.600000,119.157000,6.099922,3,26,4
19,135.600000,119.175000,5.544139,4,26,4
20,135.600000,118.923000,5.667078,3,26,4
21,135.600000,118.689000,5.974394,15,26,4
22,135.600000,119.049000,5.699061,15,26,4
23,135.600000,118.302000,5.874981,9,26,4
24,135.600000,118.284000,5.258835,9,26,4
25,135.600000,118.725000,5.584897,3,26,4
26,135.600000,119.562000,5.939154,6,26,4
27,135.600000,118.770000,5.762109,15,26,4
28,135.600000,118.005000,5.844286,3,26,4
29,135.600000,118.734000,6.197100,3,26,4
30,135.600000,117.600000,6.158263,15,26,4
31,135.600000,118.545000,6.218961,3,26,4
32,135.600000,118.527000,6.103374,3,26,4
33,135.600000,118.752000,6.014640,3,26,4
34,135.600000,118.347000,6.085564,3,26,4
35,135.600000,118.959000,5.427672,6,26,4
36,135.600000,118.680000,5.639202,4,26,4
37,135.600000,118.221000,5.728548,3,26,4
38,135.600000,118.518000,5.616144,3,26,4
39,135.600000,118.626000,5.712016,15,26,4
40,135.600000,119.841000,6.189089,3,26,4
41,135.600000,118.212000,6.154158,7,26,4
42,135.600000,119.688000,5.443148,3,26,4
43,135.600000,119.751000,5.990100,9,26,4
44,135.600000,118.761000,5.615156,3,26,4
45,135.600000,119.076000,6.294237,15,26,4
46,135.600000,117.942000,5.589833,5,26,4
47,135.600000,118.509000,5.876242,3,26,4
48,135.600000,119.184000,6.147889,4,26,4
49,135.600000,118.869000,5.496775,5,26,4
50,135.600000,118.005000,6.196779,10,26,4
51,135.600000,118.959000,6.241219,9,26,4
52,135.600000,118.977000,5.202054,15,26,4
53,135.600000,118.428000,6.174918,7,26,4
54,135.600000,118.320000,6.258722,4,26,4
55,135.600000,118.428000,5.499110,4,26,4
56,135.600000,117.987000,5.732166,3,26,4
57,135.600000,118.851000,5.803283,4,26,4
58,135.600000,118.968000,6.007094,5,26,4
59,135.600000,118.824000,5.019903,3,26,4
60,135.600000,118.374000,5.817398,3,26,4
61,135.600000,118.221000,6.190659,15,26,4
62,135.600000,119.265000,5.535366,4,26,4
63,135.600000,119.616000,5.614904,3,26,4
64,135.600000,117.780000,5.528960,9,26,4
65,135.600000,117.951000,5.762664,15,26,4
66,135.600000,117.249000,5.261568,3,26,4
67,135.600000,118.824000,6.898393,3,26,4
68,135.600000,118.275000,5.887094,8,26,4
69,135.600000,117.501000,5.468409,11,26,4
70,135.600000,118.527000,6.337758,3,26,4
71,135.600000,117.591000,5.811094,15,26,4
72,135.600000,118.968000,6.091451,3,26,4
73,135.600000,118.410000,5.659991,3,26,4
74,135.600000,118.248000,5.778364,3,26,4
75,135.600000,119.130000,6.417827,6,26,4
76,135.600000,118.176000,6.003101,4,26,4
77,135.600000,118.374000,5.842407,9,26,4
78,135.600000,119.328000,5.522628,7,26,4
79,135.600000,118.689000,5.780067,10,26,4
80,135.600000,117.780000,6.344840,6,26,4
81,135.600000,118.446000,5.909677,5,26,4
82,135.600000,118.806000,5.678166,4,26,4
83,135.600000,118.779000,6.139418,5,26,4
84,135.600000,118.644000,6.624293,4,26,4
85,135.600000,119.328000,5.749697,7,26,4
86,136.500000,118.275000,6.336377,5,25,4
87,136.500000,117.906000,6.179560,6,25,4
88,136.500000,118.176000,5.801364,15,25,4
89,136.500000,118.599000,6.098647,5,25,4
90,136.500000,118.239000,5.625245,2,25,4
91,136.500000,116.664000,6.081390,8,25,4
92,136.500000,118.788000,5.699040,6,25,4
93,136.500000,118.266000,6.110225,15,25,4
94,136.500000,117.510000,5.984154,4,25,4
95,136.500000,119.562000,6.101947,2,25,4
96,136.500000,118.392000,6.260378,12,25,4
97,137.400000,118.518000,5.607484,11,24,4
98,137.400000,117.843000,6.324196,4,24,4
99,137.400000,117.375000,5.750676,2,24,4
100,137.400000,117.132000,6.694548,2,24,4
101,137.400000,117.555000,6.611632,7,24,4
102,137.400000,117.699000,5.898805,8,24,4
103,137.400000,117.096000,6.435245,2,24,4
104,137.400000,116.763000,5.573108,2,24,4
105,137.400000,117.204000,5.709605,2,24,4
106,137.400000,116.808000,6.069871,15,24,4
107,137.400000,118.761000,6.150754,4,24,4
108,137.400000,117.375000,5.587797,2,24,4
109,137.400000,118.275000,5.785782,4,24,4
110,137.400000,118.527000,6.000314,5,24,4
111,137.400000,118.104000,5.907621,3,24,4
112,137.400000,117.591000,7.004400,2,24,4
113,137.400000,117.735000,6.333820,2,24,4
114,137.400000,118.644000,6.513314,2,24,4
115,137.400000,118.140000,6.349945,3,24,4
116,137.400000,117.672000,6.377540,2,24,4
117,137.400000,117.600000,5.850692,2,24,4
118,137.400000,118.311000,5.919914,2,24,4
119,137.400000,117.375000,6.177141,4,24,4
120,137.400000,116.790000,6.292925,2,24,4
121,137.400000,117.555000,6.117849,2,24,4
122,137.400000,117.573000,6.199498,4,24,4
123,137.400000,117.699000,6.002258,3,24,4
124,137.400000,117.969000,6.097585,2,24,4
125,137.400000,117.951000,5.460998,4,24,4
126,137.400000,118.815000,5.631117,2,24,4
127,137.400000,117.825000,6.195472,12,24,4
128,137.400000,117.582000,5.452218,4,24,4
129,137.400000,117.708000,6.119047,4,24,4
130,137.400000,118.806000,5.702365,2,24,4
131,137.400000,117.159000,5.363117,3,24,4
132,137.400000,116.808000,6.113750,3,24,4
133,137.400000,117.888000,6.137023,2,24,4
134,137.400000,117.996000,5.805272,3,24,4
135,137.400000,118.806000,6.037679,2,24,4
136,137.400000,117.510000,5.963816,2,24,4
137,137.400000,117.789000,6.207123,3,24,4
138,137.400000,119.112000,6.179114,2,24,4
139,137.400000,118.329000,6.024887,3,24,4
140,137.400000,118.770000,5.816674,2,24,4
141,137.400000,117.312000,5.829722,5,24,4
142,137.400000,117.339000,6.233168,4,24,4
143,137.400000,117.699000,6.220940,4,24,4
144,137.400000,119.130000,5.755076,4,24,4
145,137.400000,116.682000,5.912637,11,24,4
146,137.400000,117.726000,5.881099,3,24,4
147,137.400000,118.095000,5.666963,3,24,4
148,137.400000,118.401000,5.759852,2,24,4
149,137.400000,117.708000,5.655381,7,24,4
150,137.400000,117.339000,6.461593,2,24,4
151,137.400000,119.283000,5.897102,3,24,4
152,137.400000,118.194000,6.284836,2,24,4
153,137.400000,116.862000,6.421461,5,24,4
154,137.400000,118.437000,6.676101,3,24,4
155,137.400000,118.131000,6.784227,3,24,4
156,137.400000,117.384000,5.867448,2,24,4
157,137.400000,118.806000,5.747640,2,24,4
158,137.400000,118.131000,6.647942,6,24,4
159,137.400000,117.267000,6.609524,2,24,4
160,137.400000,118.275000,5.824850,2,24,4
161,137.400000,117.753000,5.916848,5,24,4
162,137.400000,117.276000,6.015233,15,24,4
163,137.400000,116.790000,5.879005,2,24,4
164,137.400000,117.231000,6.264019,9,24,4
165,137.400000,117.807000,6.487315,2,24,4
166,137.400000,117.825000,5.859511,4,24,4
167,137.400000,117.636000,5.689139,2,24,4
168,137.400000,117.933000,6.075707,2,24,4
169,137.400000,118.050000,5.910609,5,24,4
170,137.400000,117.753000,5.886654,2,24,4
171,137.400000,117.762000,5.899471,3,24,4
172,137.400000,117.546000,6.652480,3,24,4
173,137.400000,118.347000,6.129330,2,24,4
174,137.400000,117.321000,6.649892,6,24,4
175,137.400000,118.338000,5.813721,8,24,4
176,137.400000,118.833000,5.397982,2,24,4
177,137.400000,117.744000,5.423529,2,24,4
178,137.400000,118.374000,5.729007,6,24,4
179,137.400000,118.248000,5.790967,7,24,4
180,137.400000,118.032000,6.389975,10,24,4
181,137.400000,116.583000,6.557851,15,24,4
182,137.400000,117.915000,6.394910,2,24,4
183,137.400000,117.411000,5.802446,15,24,4
184,137.400000,118.230000,6.772762,2,24,4
185,137.400000,118.761000,5.616599,7,24,4
186,137.400000,117.312000,6.000888,2,24,4
187,137.400000,118.347000,6.196361,2,24,4
188,137.400000,117.690000,5.880383,7,24,4
189,137.400000,118.059000,6.038048,2,24,4
190,137.400000,118.608000,5.991973,5,24,4
191,137.400000,117.105000,5.730923,8,24,4
192,137.400000,118.482000,6.094774,2,24,4
193,137.400000,117.321000,6.082422,15,24,4
194,137.400000,117.006000,5.445141,15,24,4
195,137.400000,117.069000,6.517510,6,24,4
196,137.400000,117.168000,6.899520,15,24,4
197,137.400000,117.267000,6.762175,10,24,4
198,137.400000,117.447000,6.537315,15,24,4
199,137.400000,118.230000,5.966532,15,24,4
200,137.400000,118.239000,6.288798,15,24,4
201,137.400000,117.015000,6.183694,5,24,4
202,137.400000,117.636000,6.684183,11,24,4
203,137.400000,117.492000,6.140190,15,24,4
204,137.400000,118.023000,5.808250,15,24,4
205,137.400000,118.446000,6.376448,15,24,4
206,137.400000,118.401000,6.143639,15,24,4
207,137.400000,118.716000,5.765791,15,24,4
208,137.400000,117.636000,5.931703,15,24,4
209,137.400000,118.122000,6.381984,12,24,4
210,137.400000,118.437000,6.247394,15,24,4
211,137.400000,118.887000,5.852429,5,24,4
212,137.400000,118.050000,5.899636,15,24,4
213,137.400000,118.869000,4.876796,12,24,4
214,137.400000,117.420000,5.912664,15,24,4
215,137.400000,118.086000,5.903643,15,24,4
216,137.400000,117.213000,6.425086,15,24,4
217,137.400000,117.294000,5.874484,4,24,4
218,137.400000,117.978000,5.926594,3,24,4
219,137.400000,118.050000,5.799940,15,24,4
220,137.400000,117.906000,6.222665,15,24,4
221,137.400000,117.771000,6.149964,12,24,4
222,137.400000,117.285000,6.279879,15,24,4
223,137.400000,118.761000,6.025693,15,24,4
224,137.400000,117.888000,6.428395,3,24,4
225,137.400000,117.510000,5.950218,15,24,4
226,137.400000,117.501000,5.933035,15,24,4
227,137.400000,118.581000,6.155757,8,24,4
228,137.400000,118.662000,5.662681,8,24,4
229,137.400000,117.897000,6.162280,15,24,4
230,137.400000,118.671000,5.924564,15,24,4
231,137.400000,118.203000,5.562633,6,24,4
232,137.400000,118.689000,6.732932,11,24,4
233,137.400000,117.186000,6.308249,15,24,4
234,137.400000,117.483000,6.223232,15,24,4
235,137.400000,118.050000,6.524224,5,24,4
236,137.400000,117.951000,6.326808,3,24,4
237,137.400000,118.806000,5.733530,15,24,4
238,137.400000,118.383000,6.053000,15,24,4
239,137.400000,118.140000,5.650681,15,24,4
240,137.400000,117.933000,6.325220,15,24,4
241,137.400000,118.266000,6.552865,13,24,4
242,137.400000,118.986000,5.714001,4,24,4
243,137.400000,118.689000,5.732223,6,24,4
244,137.400000,117.564000,6.258618,3,24,4
245,137.400000,117.933000,6.116896,5,24,4
246,137.400000,117.312000,5.874015,13,24,4
247,137.400000,117.753000,6.597749,3,24,4
248,137.400000,118.257000,5.975153,10,24,4
249,137.400000,118.599000,5.585651,4,24,4
250,137.400000,118.131000,6.772277,3,24,4
251,137.400000,117.087000,6.196623,10,24,4
252,137.400000,118.275000,6.557505,4,24,4
253,137.400000,118.347000,6.395771,15,24,4
254,137.400000,118.302000,6.203579,3,24,4
255,137.400000,118.716000,5.830055,3,24,4
256,137.400000,117.528000,6.578846,4,24,4
257,137.400000,118.887000,5.480778,9,24,4
258,137.400000,118.356000,6.233720,5,24,4
259,137.400000,118.122000,5.791107,2,24,4
260,139.200000,118.194000,5.474812,13,22,4
261,139.200000,118.671000,5.599845,15,22,4
262,139.200000,118.122000,6.764001,15,22,4
263,139.200000,118.842000,5.964196,15,22,4
264,139.200000,118.509000,5.894134,11,22,4
265,139.200000,118.338000,6.177148,8,22,4
266,139.200000,118.203000,6.202894,15,22,4
267,139.200000,117.807000,6.456024,8,22,4
268,139.200000,118.347000,6.323171,15,22,4
269,139.200000,117.132000,5.971932,15,22,4
270,139.200000,117.933000,5.895728,13,22,4
271,139.200000,118.023000,6.465553,6,22,4
272,139.200000,116.412000,6.650117,15,22,4
273,139.200000,118.140000,5.623380,15,22,4
274,139.200000,118.554000,6.811306,6,22,4
275,139.200000,118.392000,6.360498,15,22,4
276,139.200000,118.086000,6.288959,11,22,4
277,139.200000,117.429000,6.560370,8,22,4
278,139.200000,119.319000,6.810443,5,22,4
279,139.200000,118.680000,5.972638,15,22,4
280,139.200000,116.682000,6.104070,15,22,4
281,139.200000,117.861000,6.447789,15,22,4
