Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,17.800000,13.602000,1.983682,0,1,4
1,17.800000,13.769000,2.201304,15,1,4
2,17.900000,13.915000,1.862008,15,1,3
3,17.900000,13.676000,2.063159,15,1,3
4,17.900000,13.942000,1.949676,8,1,3
5,17.900000,13.975000,2.013573,15,1,3
6,17.900000,13.883000,1.918961,15,1,3
7,17.900000,13.762000,1.998288,4,1,3
8,17.900000,13.761000,2.037641,8,1,3
9,18.700000,13.586000,2.232847,15,0,4
10,18.700000,14.061000,1.792757,15,0,4
11,18.700000,13.887000,1.882268,15,0,4
12,18.700000,14.057000,1.901487,10,0,4
13,18.700000,13.773000,1.832258,15,0,4
14,18.700000,13.811000,2.094225,15,0,4
15,18.700000,14.137000,1.843619,10,0,4
16,18.700000,13.648000,1.860563,15,0,4
17,18.700000,13.943000,2.099298,15,0,4
18,18.700000,13.933000,1.951874,15,0,4
19,18.700000,13.820000,2.124618,15,0,4
20,18.700000,13.757000,1.945829,13,0,4
21,18.700000,14.076000,2.082648,15,0,4
22,18.700000,14.277000,2.105177,11,0,4
23,18.700000,14.148000,2.022547,15,0,4
24,18.700000,14.107000,1.848905,15,0,4
25,18.700000,14.225000,1.903595,15,0,4
26,18.700000,13.820000,2.001200,15,0,4
27,18.700000,13.608000,1.962839,8,0,4
28,18.700000,14.169000,1.665875,15,0,4
29,18.700000,13.788000,1.904431,15,0,4
30,18.700000,14.064000,1.888413,15,0,4
31,18.700000,14.291000,2.082983,15,0,4
32,18.700000,13.903000,1.940333,15,0,4
33,18.700000,13.735000,2.084964,15,0,4
34,18.700000,13.754000,1.829722,15,0,4
35,18.700000,14.440000,1.867405,15,0,4
36,18.700000,14.283000,1.943196,15,0,4
37,18.700000,13.986000,1.667994,15,0,4
38,18.700000,14.162000,1.779931,15,0,4
39,18.700000,13.946000,1.957264,15,0,4
40,18.700000,14.208000,2.200213,15,0,4
41,18.700000,13.774000,1.944460,15,0,4
42,18.700000,13.938000,2.138868,15,0,4
43,18.700000,14.056000,1.963788,15,0,4
44,18.700000,13.738000,1.992174,15,0,4
45,18.700000,14.175000,1.975620,15,0,4
46,18.700000,13.779000,2.130319,15,0,4
47,18.700000,13.902000,1.893673,15,0,4
48,18.700000,14.072000,2.058839,7,0,4
49,18.700000,13.982000,1.890946,15,0,4
50,18.700000,14.011000,2.461784,15,0,4
51,18.700000,13.829000,1.946602,15,0,4
52,18.700000,13.854000,2.341769,15,0,4
53,18.700000,13.961000,1.991376,15,0,4
54,18.700000,14.297000,1.837686,15,0,4
55,18.700000,14.067000,1.815822,15,0,4
56,18.700000,13.776000,2.104240,15,0,4
57,18.700000,14.124000,1.918860,15,0,4
58,18.700000,13.893000,1.735123,15,0,4
59,18.700000,13.965000,1.999619,15,0,4
60,18.700000,13.803000,1.938838,15,0,4
61,18.700000,13.851000,1.872511,15,0,4
62,18.700000,13.705000,2.036682,15,0,4
63,18.700000,13.725000,1.993759,15,0,4
64,18.700000,13.685000,1.912557,15,0,4
65,18.700000,13.818000,1.983299,15,0,4
66,18.700000,14.100000,1.971750,15,0,4
67,18.700000,13.923000,1.903148,15,0,4
68,18.700000,13.754000,2.010692,15,0,4
69,18.700000,14.183000,1.792487,15,0,4
70,18.700000,13.978000,2.335961,15,0,4
71,18.700000,13.737000,2.041404,15,0,4
72,18.700000,13.912000,2.082368,15,0,4
73,18.700000,13.766000,2.036233,15,0,4
74,18.700000,14.183000,1.825763,15,0,4
75,18.700000,13.571000,2.089512,15,0,4
76,18.700000,13.649000,1.953023,15,0,4
77,18.700000,13.843000,1.753582,15,0,4
78,18.700000,13.845000,2.101874,15,0,4
79,18.700000,13.710000,1.972993,15,0,4
80,18.700000,13.889000,1.934988,15,0,4
81,18.700000,13.944000,1.950914,15,0,4
82,18.700000,14.216000,1.909069,15,0,4
83,18.700000,13.481000,1.982710,15,0,4
84,18.700000,13.871000,2.012327,15,0,4
85,18.700000,13.689000,2.131004,15,0,4
86,18.700000,14.057000,2.038198,15,0,4
87,18.700000,14.127000,2.023159,15,0,4
88,18.700000,13.818000,1.894486,15,0,4
89,18.700000,13.889000,1.922909,15,0,4
90,18.700000,14.247000,2.089471,12,0,4
91,18.700000,13.997000,2.085831,15,0,4
92,18.700000,14.038000,1.942564,15,0,4
93,18.700000,13.848000,1.949640,13,0,4
94,18.700000,13.874000,1.855566,9,0,4
95,18.700000,14.177000,1.666785,4,0,4
96,18.700000,14.067000,1.953512,10,0,4
97,18.700000,13.750000,2.042425,12,0,4
98,18.700000,13.662000,2.105316,15,0,4
99,18.700000,14.319000,1.962126,2,0,4
100,18.700000,13.631000,2.238513,6,0,4
101,18.700000,14.126000,1.832628,2,0,4
102,18.700000,13.830000,1.962881,11,0,4
103,18.700000,13.636000,2.126853,8,0,4
104,18.700000,13.834000,1.861194,4,0,4
105,18.700000,13.844000,2.114489,15,0,4
106,18.700000,14.065000,1.732477,11,0,4
107,18.700000,13.794000,1.890758,15,0,4
108,18.700000,14.106000,1.927528,4,0,4
109,18.700000,14.112000,1.759959,2,0,4
110,18.700000,13.826000,2.028774,11,0,4
111,18.700000,13.692000,1.838406,3,0,4
112,18.700000,13.699000,1.683122,15,0,4
113,18.700000,13.909000,1.748147,4,0,4
114,18.700000,13.519000,1.873910,4,0,4
115,18.700000,14.065000,1.840238,15,0,4
116,18.700000,13.595000,2.310341,15,0,4
117,18.700000,13.601000,2.052048,15,0,4
118,18.700000,13.763000,2.194341,15,0,4
