Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,126.200000,114.228000,6.636145,0,22,5
1,126.200000,114.866000,6.342984,15,22,5
2,128.000000,113.941000,6.954237,15,20,5
3,128.900000,114.739000,5.267122,15,19,5
4,128.900000,116.242000,5.306000,15,19,5
5,128.900000,115.465000,5.712659,15,19,5
6,128.900000,114.161000,6.068211,15,19,5
7,128.900000,115.178000,5.697834,4,19,5
8,128.900000,115.294000,5.404143,4,19,5
9,128.900000,115.301000,6.200798,15,19,5
10,128.900000,115.416000,5.379753,15,19,5
11,128.900000,115.534000,5.320662,15,19,5
12,128.900000,115.057000,5.669696,15,19,5
13,128.900000,114.899000,5.676381,15,19,5
14,128.900000,114.692000,5.814769,15,19,5
15,128.900000,114.148000,6.050876,15,19,5
16,128.900000,115.078000,6.012064,15,19,5
17,128.900000,115.280000,5.925184,15,19,5
18,128.900000,114.797000,5.401082,15,19,5
19,128.900000,114.683000,5.656024,15,19,5
20,129.800000,114.293000,5.919329,4,18,5
21,129.800000,114.777000,5.696488,15,18,5
22,129.800000,114.400000,5.577903,2,18,5
23,129.800000,114.379000,6.352091,12,18,5
24,129.800000,114.589000,6.609613,8,18,5
25,129.800000,114.424000,5.974531,15,18,5
26,129.800000,115.287000,5.787843,15,18,5
27,129.800000,115.172000,5.905118,4,18,5
28,129.800000,115.058000,5.934091,15,18,5
29,129.800000,115.182000,6.134483,15,18,5
30,129.800000,114.907000,5.707981,15,18,5
31,129.800000,114.546000,6.149397,15,18,5
32,129.800000,114.625000,6.428023,15,18,5
33,129.800000,114.789000,6.004447,15,18,5
34,129.800000,115.130000,6.652240,15,18,5
35,129.800000,116.001000,5.683828,15,18,5
36,129.800000,114.658000,5.838205,15,18,5
37,129.800000,114.200000,5.744406,15,18,5
38,129.800000,114.535000,5.882642,15,18,5
39,129.800000,114.910000,6.127259,15,18,5
40,129.800000,114.757000,4.963814,15,18,5
41,129.800000,114.631000,5.940567,15,18,5
42,129.800000,115.429000,5.357860,15,18,5
43,129.800000,113.538000,6.294788,15,18,5
44,129.800000,115.171000,5.155837,15,18,5
45,129.800000,114.927000,6.160079,15,18,5
46,129.800000,113.973000,5.791388,15,18,5
47,129.800000,114.641000,6.539420,15,18,5
48,129.800000,114.848000,5.928330,15,18,5
49,129.800000,114.360000,6.350559,15,18,5
50,129.800000,114.766000,4.724875,15,18,5
51,129.800000,114.878000,6.636936,15,18,5
52,129.800000,114.499000,6.401039,15,18,5
53,129.800000,113.662000,5.981718,15,18,5
54,129.800000,114.289000,5.609686,15,18,5
55,129.800000,114.540000,5.707626,15,18,5
56,129.800000,113.662000,6.563395,15,18,5
57,129.800000,113.691000,6.066450,15,18,5
58,129.800000,114.723000,5.706608,15,18,5
59,129.800000,114.974000,6.123016,15,18,5
60,129.800000,114.851000,5.415819,15,18,5
61,129.800000,113.965000,5.460208,15,18,5
62,129.800000,114.646000,6.080073,15,18,5
63,129.800000,114.540000,5.775344,15,18,5
64,129.800000,114.775000,5.288731,15,18,5
