Iteration,Min Colors,Avg Colors
0,8,10.040000
1,8,9.680000
2,8,10.030000
3,8,9.800000
4,8,9.730000
5,8,9.870000
6,8,9.790000
7,8,9.770000
8,8,9.720000
9,8,9.770000
10,7,9.590000

Obtained Coloration:
0 2 1 4 2 2 1 1 4 0 1 2 1 2 1 1 2 2 1 1 6 6 1 2 0 0 0 0 0 4 4 4 4 4 4 4 2 2 2 2 2 2 0 2 0 2 2 0 4 0 2 5 3 3 3 3 0 2 1 0 3 0 1 2 1 3 1 1 2 2 1 1 3 3 1 3 0 3 0 3 0 3 3 3 3 3 3 3 2 2 3 3 2 2 0 3 0 3 3 0 3 0 3 3 2 0 1 4 2 0 1 1 4 4 1 2 1 2 1 1 2 2 1 1 4 4 1 2 4 0 4 4 0 4 1 1 2 4 1 2 0 2 2 2 2 2 2 2 2 2 2 2 4 4 2 4 3 0 3 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 3 0 3 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 1 0 3 0 3 3 2 6 3 4 0 5 5 5 5 0 0 5 5 0 5 5 5 5 1 1 5 5 1 1 5 5 1 5 5 5 5 5 0 5 5 5 5 5 5 5 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 3 3 3 3 3 0 1 0 3 3 1 3 3 3 3 3 3 3 1 1 3 3 3 3 3 3 1 3 3 3 1 1 3 3 1 3 3 1 2 3 3 3 0 1 3 3 3 3 1 3 3 1 2 2 5 5 2 0 5 5 5 5 5 2 2 1 1 1 2 2 1 1 5 5 1 2 5 5 5 5 2 2 5 5 2 2 5 2 0 1 1 1 1 1 1 1 1 1 1 1 5 5 1 5 3 0 3 0 3 0 1 0 0 3 1 0 3 0 3 3 0 0 1 1 0 0 3 0 3 3 1 3 3 3 1 1 3 3 1 3 3 0 3 3 0 0 0 1 0 0 3 0 1 3 3 1 2 5 3 5 2 4 1 1 2 2 1 1 2 2 1 2 2 4 2 1 2 2 2 2 2 2 2 2 0 4 2 2 2 4 0 2 2 4 2 2 0 0 0 4 2 2 0 2 2 0 2 2 4 2 4 4 0 4 4 1 0 4 1 0 4 0 1 2 4 1 4 1 2 1 1 1 1 4 1 1 0 4 4 4 0 2 0 4 4 4 4 2 0 0 0 4 2 2 0 4 4 0 4 4 2 4 4 2 1 1 1 1 2 2 1 1 2 2 1 2 1 4 2 0 2 2 2 2 2 2 2 2 2 1 2 1 2 4 1 1 2 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 4 0 0 4 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 4 0 4 0 4 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 2 4 4 4 0 3 3 1 3 0 0 3 3 0 3 3 0 3 1 1 3 3 0 1 3 0 1 3 2 1 3 1 0 3 0 0 3 3 3 3 0 1 0 1 0 1 0 1 1 0 1 1 1 0 1 1 2 0 0 0 3 0 0 0 0 3 0 0 0 3 0 3 0 3 0 0 3 0 0 3 2 3 1 3 3 1 1 1 1 3 1 1 0 1 0 3 0 3 0 0 3 0 0 3 1 3 3 1 2 2 2 1 2 0 3 3 3 3 3 2 2 1 1 1 2 2 1 1 3 3 1 2 2 2 3 1 2 2 3 3 2 2 3 2 0 1 1 1 1 1 0 1 1 1 1 1 1 3 1 1 3 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 1 3 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 1 2 3 3 3 6 4 3 5 
Obtained Chromatic number: 7
Known Chromatic number: 7
Chromatic Coloration found
Time Taken = 0.444116
