Iteration,Min Colors,Avg Colors
0,52,56.000000
1,52,56.270000
2,52,56.060000
3,52,55.980000
4,52,56.110000
5,52,55.970000
6,52,55.990000
7,52,55.960000
8,52,55.920000
9,52,56.070000
10,52,55.990000
11,52,56.170000
12,51,55.900000
13,51,56.150000
14,51,55.870000
15,51,55.930000
16,51,55.660000
17,51,56.120000
18,51,55.810000
19,51,55.930000
20,51,56.040000
21,51,56.070000
22,51,56.060000
23,51,56.130000
24,51,56.010000
25,51,56.260000
26,51,55.810000
27,50,55.860000
28,50,56.120000
29,50,55.930000
30,50,56.080000
31,50,55.700000
32,50,56.180000
33,50,56.170000
34,50,56.240000
35,50,56.060000
36,50,56.210000
37,50,55.860000
38,50,55.950000
39,50,56.070000
40,50,55.640000
41,50,56.050000
42,50,56.120000
43,50,56.240000
44,50,55.880000
45,50,55.960000
46,50,56.030000
47,50,55.980000
48,50,55.830000
49,50,56.220000
50,50,55.900000
51,50,55.800000
52,50,55.950000
53,50,55.960000
54,50,55.940000
55,50,56.240000
56,50,55.830000
57,50,55.980000
58,50,56.170000
59,50,56.270000
60,50,56.120000
61,50,56.150000
62,50,56.110000
63,50,55.910000
64,50,56.370000
65,50,56.090000
66,50,55.850000
67,50,56.260000
68,50,55.880000
69,50,56.110000
70,50,56.020000
71,50,56.110000
72,50,55.930000
73,50,55.850000
74,50,55.950000
75,50,56.180000
76,50,55.800000
77,50,55.800000
78,50,55.840000
79,50,55.850000
80,50,55.990000
81,50,55.960000
82,50,56.200000
83,50,56.170000
84,50,55.830000
85,50,56.200000
86,50,55.870000
87,50,56.180000
88,50,55.910000
89,50,55.960000
90,50,55.970000
91,50,56.150000
92,50,56.210000
93,50,56.220000
94,50,56.280000
95,50,55.770000
96,50,56.140000
97,50,55.920000
98,50,55.850000
99,50,56.030000
100,50,56.140000
101,50,56.120000
102,50,56.270000
103,50,55.680000
104,50,56.370000
105,50,55.950000
106,50,56.090000
107,50,55.960000
108,50,55.900000
109,50,55.570000
110,50,55.880000
111,50,55.850000
112,50,56.220000
113,50,56.070000
114,50,55.840000
115,50,56.010000
116,50,56.300000
117,50,55.790000
118,50,55.950000
119,50,55.740000
120,50,55.950000
121,50,56.060000
122,50,56.310000
123,50,55.960000
124,50,56.380000
125,50,56.290000
126,50,55.890000
127,50,56.180000
128,50,56.150000
129,50,55.870000
130,50,55.960000
131,50,56.140000
132,50,56.040000
133,50,55.730000
134,50,56.140000
135,50,55.830000
136,50,56.130000
137,50,55.860000
138,50,55.940000
139,50,56.110000
140,50,55.780000
141,50,56.040000
142,50,56.290000
143,50,55.920000
144,50,56.270000
145,50,55.850000
146,50,56.060000
147,50,56.010000
148,50,55.990000
149,50,55.980000
150,50,55.880000
151,50,55.740000
152,50,55.840000
153,50,56.030000
154,50,55.780000
155,50,55.840000
156,50,56.200000
157,50,56.280000
158,50,55.920000
159,50,56.020000
160,50,55.650000
161,50,56.010000
162,50,56.210000
163,50,55.690000
164,50,56.120000
165,50,56.130000
166,50,56.050000
167,50,56.070000
168,50,55.880000
169,50,56.140000
170,50,55.730000
171,50,56.010000
172,50,56.110000
173,50,55.930000
174,50,55.940000
175,50,56.080000
176,50,55.930000
177,50,56.110000
178,50,55.940000
179,50,55.710000
180,50,56.090000
181,50,56.010000
182,50,56.340000
183,50,56.160000
184,50,55.930000
185,50,56.030000
186,50,56.240000
187,50,56.090000
188,50,55.940000
189,50,56.290000
190,50,55.700000
191,50,55.980000
192,50,56.060000
193,50,55.890000
194,50,56.150000
195,50,56.040000
196,50,56.150000
197,50,55.990000
198,50,55.930000
199,50,56.190000
200,50,55.940000
201,50,55.630000
202,50,55.930000
203,50,56.000000
204,50,56.060000
205,50,55.950000
206,50,56.260000
207,50,56.010000
208,50,56.190000
209,50,56.210000
210,50,56.060000
211,50,55.810000
212,50,56.010000
213,50,56.390000
214,50,55.970000
215,50,56.070000
216,50,56.330000
217,50,55.790000
218,50,56.160000
219,50,56.130000
220,50,55.970000
221,50,56.120000
222,50,56.030000
223,50,56.010000
224,50,56.330000
225,50,56.070000
226,50,55.820000
227,50,56.080000
228,50,56.280000
229,50,56.270000
230,50,55.920000
231,50,55.680000
232,50,56.010000
233,50,55.870000
234,50,55.960000
235,50,56.100000
236,50,55.900000
237,50,55.940000
238,50,56.020000
239,50,56.150000
