Iteration,Min Colors,Avg Colors
0,12,13.800000
1,12,13.920000
2,12,13.910000
3,12,13.870000
4,12,13.980000
5,12,14.000000
6,12,13.780000
7,12,13.880000
8,12,13.940000
9,12,13.960000
10,12,13.920000
11,12,13.900000
12,12,13.980000
13,12,14.020000
14,12,13.930000
15,12,13.890000
16,12,13.780000
17,12,13.860000
18,12,13.880000
19,12,13.810000
20,12,13.900000
21,12,13.990000
22,12,13.870000
23,12,13.730000
24,12,13.820000
25,12,13.860000
26,12,13.890000
27,12,13.930000
28,12,13.820000
29,12,13.910000
30,12,13.880000
31,12,13.970000
32,12,13.940000
33,12,13.860000
34,12,13.910000
35,12,13.950000
36,12,13.810000
37,12,13.900000
38,12,13.920000
39,12,13.970000
40,12,13.960000
41,12,13.940000
42,12,13.930000
43,12,13.860000
44,12,13.980000
45,12,13.920000
46,12,14.020000
47,12,13.760000
48,12,13.920000
49,12,13.820000
50,12,13.950000
51,12,13.980000
52,12,13.840000
53,12,13.970000
54,12,13.890000
55,12,13.840000
56,12,13.840000
57,12,13.940000
58,12,13.860000
59,12,13.840000
60,12,14.030000
61,12,13.890000
62,12,13.970000
63,12,14.000000
64,12,13.950000
65,12,13.840000
66,12,13.880000
67,12,14.060000
68,12,13.930000
69,12,13.960000
70,12,13.950000
71,12,13.810000
72,12,13.860000
73,12,13.930000
74,12,13.900000
75,12,13.890000
76,12,13.790000
77,12,14.010000
78,12,13.890000
79,12,13.750000
80,12,14.000000
81,12,13.910000
82,12,13.890000
83,12,13.990000
84,12,13.820000
85,12,13.850000
86,12,13.900000
87,12,13.790000
88,12,13.940000
89,12,13.870000
90,12,13.970000
91,12,13.930000
92,12,13.930000
93,12,13.780000
94,12,13.930000
95,12,14.040000
96,12,13.760000
97,12,13.970000
98,12,13.820000
99,12,13.750000
100,12,13.870000
101,12,13.960000
102,12,13.930000
103,12,13.810000
104,12,13.920000
105,12,14.080000
106,12,13.980000
107,12,13.860000
108,12,14.010000
109,12,13.850000
110,12,13.780000
111,12,13.880000
112,12,14.030000
113,12,13.970000
114,12,13.880000
115,12,13.950000
116,12,13.920000
117,12,13.980000
118,12,13.940000
119,12,13.810000
120,12,13.830000
121,12,14.020000
122,12,13.930000
123,12,13.910000
124,12,13.910000
125,12,13.860000
126,12,13.880000
127,12,13.970000
128,12,13.800000
129,12,13.940000
130,12,13.850000
131,12,13.790000
132,12,13.960000
133,12,14.010000
134,12,13.850000
135,12,14.020000
136,12,13.820000
