Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
1,159.500000,144.983000,131.600000,29,5,60,5
2,165.800000,145.784000,133.400000,22,5,58,5
3,165.800000,145.775000,130.700000,22,5,61,5
4,165.800000,145.938000,126.200000,22,5,66,5
5,165.800000,145.586000,129.800000,22,5,62,5
6,165.800000,146.064000,126.200000,22,5,66,5
7,165.800000,147.404000,126.200000,22,5,66,5
8,165.800000,146.351000,126.200000,22,5,66,5
9,165.800000,146.378000,134.300000,22,5,57,5
10,165.800000,146.801000,130.700000,22,5,61,5
11,165.800000,146.549000,132.500000,22,5,59,5
12,165.800000,149.087000,135.200000,22,5,56,5
13,165.800000,147.332000,124.400000,22,5,68,5
14,165.800000,147.440000,129.800000,22,5,62,5
15,165.800000,146.964000,135.200000,22,5,56,5
16,165.800000,144.787000,128.900000,22,5,63,5
17,165.800000,147.620000,134.300000,22,5,57,5
18,165.800000,147.350000,124.400000,22,5,68,5
19,165.800000,146.945000,128.000000,22,5,64,5
20,165.800000,146.837000,132.500000,22,5,59,5
21,165.800000,149.106000,135.200000,22,5,56,5
22,165.800000,146.441000,126.200000,22,5,66,5
23,165.800000,147.827000,130.700000,22,5,61,5
24,165.800000,147.522000,128.100000,22,5,64,4
25,165.800000,146.289000,127.100000,22,5,65,5
26,165.800000,147.494000,135.200000,22,5,56,5
27,165.800000,145.091000,128.900000,22,5,63,5
28,165.800000,148.358000,131.600000,22,5,60,5
29,165.800000,147.125000,130.700000,22,5,61,5
30,165.800000,146.972000,131.600000,22,5,60,5
31,165.800000,146.063000,128.000000,22,5,64,5
32,165.800000,148.610000,134.300000,22,5,57,5
33,167.600000,147.755000,133.400000,20,5,58,5
34,167.600000,147.323000,132.500000,20,5,59,5
35,167.600000,146.531000,134.300000,20,5,57,5
36,167.600000,147.233000,128.000000,20,5,64,5
37,167.600000,146.855000,120.800000,20,5,72,5
38,167.600000,147.485000,128.000000,20,5,64,5
39,167.600000,145.739000,120.800000,20,5,72,5
40,167.600000,146.369000,131.600000,20,5,60,5
41,167.600000,146.990000,132.500000,20,5,59,5
42,167.600000,146.253000,129.800000,20,5,62,5
43,167.600000,147.521000,127.100000,20,5,65,5
44,167.600000,147.107000,129.800000,20,5,62,5
45,167.600000,146.747000,134.300000,20,5,57,5
46,167.600000,146.801000,128.000000,20,5,64,5
47,167.600000,146.001000,126.200000,20,5,66,5
48,167.600000,146.225000,133.400000,20,5,58,5
49,167.600000,146.621000,130.700000,20,5,61,5
50,167.600000,145.839000,128.900000,20,5,63,5
51,167.600000,146.738000,126.200000,20,5,66,5
52,167.600000,147.360000,130.700000,20,5,61,5
53,167.600000,146.117000,127.100000,20,5,65,5
54,167.600000,147.647000,127.100000,20,5,65,5
55,167.600000,146.252000,131.600000,20,5,60,5
56,167.600000,146.909000,130.700000,20,5,61,5
57,167.600000,146.099000,131.600000,20,5,60,5
58,167.600000,146.108000,130.700000,20,5,61,5
59,167.600000,148.556000,137.000000,20,5,54,5
60,167.600000,147.693000,133.400000,20,5,58,5
61,167.600000,147.422000,135.200000,20,5,56,5
62,167.600000,147.836000,129.800000,20,5,62,5
63,167.600000,146.828000,130.700000,20,5,61,5
64,167.600000,146.846000,131.600000,20,5,60,5
65,167.600000,147.287000,128.000000,20,5,64,5
66,167.600000,146.810000,133.400000,20,5,58,5
67,167.600000,145.370000,119.000000,20,5,74,5
68,167.600000,147.269000,134.300000,20,5,57,5
69,167.600000,145.461000,129.800000,20,5,62,5
70,167.600000,146.244000,128.000000,20,5,64,5
71,167.600000,146.009000,131.600000,20,5,60,5
72,167.600000,146.720000,127.100000,20,5,65,5
73,167.600000,148.234000,133.400000,20,5,58,5
74,167.600000,148.124000,131.600000,20,5,60,5
75,167.600000,146.216000,129.800000,20,5,62,5
76,167.600000,147.431000,131.600000,20,5,60,5
77,167.600000,146.909000,133.400000,20,5,58,5
78,167.600000,146.774000,130.700000,20,5,61,5
79,167.600000,147.288000,127.100000,20,5,65,5
80,167.600000,146.199000,128.100000,20,5,64,4
81,167.600000,147.116000,128.900000,20,5,63,5
82,167.600000,146.396000,130.700000,20,5,61,5
83,167.600000,146.612000,128.000000,20,5,64,5
84,167.600000,146.360000,128.900000,20,5,63,5
85,167.600000,146.990000,119.000000,20,5,74,5
86,167.600000,146.064000,125.300000,20,5,67,5
87,167.600000,147.368000,132.500000,20,5,59,5
88,167.600000,146.513000,127.100000,20,5,65,5
89,167.600000,146.513000,132.500000,20,5,59,5
90,167.600000,145.730000,128.900000,20,5,63,5
91,167.600000,146.783000,126.200000,20,5,66,5
92,167.600000,147.593000,124.400000,20,5,68,5
93,167.600000,147.234000,133.400000,20,5,58,5
94,167.600000,147.062000,132.500000,20,5,59,5
95,167.600000,147.224000,132.500000,20,5,59,5
96,167.600000,146.874000,133.400000,20,5,58,5
97,167.600000,146.306000,133.400000,20,5,58,5
98,167.600000,146.081000,128.900000,20,5,63,5
99,167.600000,147.071000,131.600000,20,5,60,5
100,167.600000,147.198000,134.300000,20,5,57,5
101,167.600000,148.034000,129.800000,20,5,62,5
102,167.600000,147.143000,130.700000,20,5,61,5
103,167.600000,146.540000,132.500000,20,5,59,5
104,167.600000,146.567000,131.600000,20,5,60,5
105,167.600000,147.782000,132.500000,20,5,59,5
106,167.600000,147.377000,131.600000,20,5,60,5
107,167.600000,146.333000,131.600000,20,5,60,5
108,167.600000,147.377000,134.300000,20,5,57,5
109,167.600000,146.756000,129.800000,20,5,62,5
110,167.600000,147.548000,131.600000,20,5,60,5
111,167.600000,145.028000,128.900000,20,5,63,5
112,167.600000,147.476000,131.600000,20,5,60,5
113,167.600000,146.711000,130.700000,20,5,61,5
114,167.600000,147.341000,134.300000,20,5,57,5
115,167.600000,148.178000,131.600000,20,5,60,5
116,167.600000,147.260000,129.800000,20,5,62,5
117,167.600000,147.692000,131.600000,20,5,60,5
118,167.600000,147.305000,128.900000,20,5,63,5
119,167.600000,147.062000,129.800000,20,5,62,5
120,167.600000,147.053000,132.500000,20,5,59,5
121,167.600000,147.125000,133.400000,20,5,58,5
122,167.600000,147.575000,134.300000,20,5,57,5
123,167.600000,145.208000,128.000000,20,5,64,5
124,167.600000,147.269000,131.600000,20,5,60,5
125,167.600000,146.000000,122.600000,20,5,70,5
126,167.600000,146.829000,126.200000,20,5,66,5
127,167.600000,147.324000,120.000000,20,5,73,4
128,167.600000,146.685000,129.000000,20,5,63,4
129,167.600000,146.063000,129.800000,20,5,62,5
130,167.600000,145.712000,127.100000,20,5,65,5
131,167.600000,145.191000,130.700000,20,5,61,5
132,167.600000,147.287000,134.300000,20,5,57,5
133,167.600000,147.341000,130.700000,20,5,61,5
134,167.600000,145.622000,130.700000,20,5,61,5
135,167.600000,145.488000,116.400000,20,5,77,4
136,167.600000,149.609000,126.200000,20,5,66,5
137,167.600000,146.945000,129.800000,20,5,62,5
138,167.600000,146.018000,133.400000,20,5,58,5
139,167.600000,146.711000,132.500000,20,5,59,5
140,167.600000,146.243000,129.800000,20,5,62,5
141,167.600000,148.610000,133.400000,20,5,58,5
142,167.600000,147.323000,128.000000,20,5,64,5
143,167.600000,147.881000,129.800000,20,5,62,5
144,167.600000,145.532000,129.800000,20,5,62,5
145,167.600000,146.009000,133.400000,20,5,58,5
146,167.600000,146.837000,132.500000,20,5,59,5
147,167.600000,145.883000,129.800000,20,5,62,5
148,167.600000,146.729000,129.800000,20,5,62,5
149,167.600000,147.422000,124.400000,20,5,68,5
150,167.600000,147.476000,131.600000,20,5,60,5
151,167.600000,147.377000,127.100000,20,5,65,5
152,167.600000,145.820000,131.600000,20,5,60,5
153,167.600000,146.099000,124.400000,20,5,68,5
154,167.600000,148.826000,132.500000,20,5,59,5
155,167.600000,146.270000,128.000000,20,5,64,5
156,167.600000,146.352000,131.600000,20,5,60,5
157,167.600000,148.637000,130.700000,20,5,61,5
158,167.600000,147.368000,132.500000,20,5,59,5
159,167.600000,146.738000,132.500000,20,5,59,5
160,167.600000,148.475000,133.400000,20,5,58,5
161,167.600000,146.504000,132.500000,20,5,59,5
162,167.600000,148.430000,136.100000,20,5,55,5
163,167.600000,149.096000,134.300000,20,5,57,5
164,167.600000,146.891000,133.400000,20,5,58,5
165,167.600000,147.503000,132.500000,20,5,59,5
166,167.600000,149.429000,131.600000,20,5,60,5
167,167.600000,147.854000,129.800000,20,5,62,5
168,167.600000,147.827000,133.400000,20,5,58,5
169,167.600000,148.718000,130.700000,20,5,61,5
170,167.600000,148.691000,128.900000,20,5,63,5
171,167.600000,148.808000,130.700000,20,5,61,5
172,167.600000,148.511000,130.700000,20,5,61,5
173,167.600000,149.762000,135.200000,20,5,56,5
174,167.600000,147.935000,135.200000,20,5,56,5
175,167.600000,149.123000,131.600000,20,5,60,5
176,167.600000,148.799000,131.600000,20,5,60,5
177,167.600000,148.881000,138.800000,20,5,52,5
178,167.600000,148.286000,135.200000,20,5,56,5
179,167.600000,148.601000,128.000000,20,5,64,5
180,168.500000,147.701000,134.300000,19,5,57,5
181,168.500000,145.551000,126.300000,19,5,66,4
182,168.500000,145.228000,128.900000,19,5,63,5
183,168.500000,147.197000,134.300000,19,5,57,5
184,168.500000,144.164000,124.400000,19,5,68,5
185,168.500000,145.370000,128.000000,19,5,64,5
186,168.500000,145.739000,128.900000,19,5,63,5
187,168.500000,146.577000,123.500000,19,5,69,5
188,168.500000,146.073000,130.700000,19,5,61,5
189,168.500000,146.342000,133.400000,19,5,58,5
190,168.500000,144.425000,122.600000,19,5,70,5
191,168.500000,145.604000,127.100000,19,5,65,5
192,168.500000,145.722000,132.600000,19,5,59,4
193,168.500000,145.919000,132.500000,19,5,59,5
194,168.500000,145.280000,128.000000,19,5,64,5
195,168.500000,144.830000,121.700000,19,5,71,5
196,168.500000,145.848000,130.800000,19,5,61,4
197,168.500000,145.874000,128.000000,19,5,64,5
198,168.500000,147.198000,135.200000,19,5,56,5
199,168.500000,145.595000,131.600000,19,5,60,5
200,168.500000,145.523000,125.300000,19,5,67,5
201,168.500000,147.090000,133.400000,19,5,58,5
202,168.500000,146.108000,125.300000,19,5,67,5
203,168.500000,146.279000,129.800000,19,5,62,5
204,168.500000,146.585000,131.600000,19,5,60,5
205,168.500000,145.659000,130.700000,19,5,61,5
206,168.500000,146.477000,120.800000,19,5,72,5
207,168.500000,146.180000,122.600000,19,5,70,5
208,168.500000,146.208000,125.300000,19,5,67,5
209,168.500000,146.064000,126.200000,19,5,66,5
210,168.500000,145.749000,124.500000,19,5,68,4
211,168.500000,147.737000,133.400000,19,5,58,5
212,168.500000,146.270000,126.200000,19,5,66,5
213,168.500000,146.594000,128.000000,19,5,64,5
214,168.500000,144.209000,123.500000,19,5,69,5
215,168.500000,146.819000,125.300000,19,5,67,5
216,168.500000,145.883000,130.700000,19,5,61,5
217,168.500000,146.000000,125.300000,19,5,67,5
218,168.500000,145.271000,125.300000,19,5,67,5
219,168.500000,145.883000,129.800000,19,5,62,5
220,168.500000,145.829000,122.600000,19,5,70,5
221,168.500000,146.999000,132.500000,19,5,59,5
222,168.500000,146.459000,129.800000,19,5,62,5
223,168.500000,145.334000,131.600000,19,5,60,5
224,168.500000,145.442000,122.600000,19,5,70,5
225,168.500000,146.351000,127.100000,19,5,65,5
226,168.500000,145.838000,130.700000,19,5,61,5
227,168.500000,146.585000,133.400000,19,5,58,5
