Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
1,157.700000,146.612000,128.000000,31,5,64,5
2,157.700000,147.080000,133.400000,31,5,58,5
3,159.500000,145.676000,133.400000,29,5,58,5
4,159.500000,148.502000,136.100000,29,5,55,5
5,161.300000,147.602000,124.400000,27,5,68,5
6,161.300000,147.008000,131.600000,27,5,60,5
7,162.200000,146.486000,132.500000,26,5,59,5
8,162.200000,145.775000,129.800000,26,5,62,5
9,162.200000,148.178000,133.400000,26,5,58,5
10,162.200000,147.009000,132.500000,26,5,59,5
11,163.100000,146.477000,124.400000,25,5,68,5
12,164.900000,146.127000,128.900000,23,5,63,5
13,164.900000,147.368000,135.200000,23,5,56,5
14,164.900000,145.947000,130.700000,23,5,61,5
15,164.900000,147.566000,131.600000,23,5,60,5
16,164.900000,147.152000,132.500000,23,5,59,5
17,164.900000,148.349000,130.700000,23,5,61,5
18,164.900000,147.926000,123.500000,23,5,69,5
19,164.900000,147.548000,131.600000,23,5,60,5
20,164.900000,147.773000,130.700000,23,5,61,5
21,164.900000,147.440000,136.100000,23,5,55,5
22,164.900000,146.559000,130.700000,23,5,61,5
23,164.900000,148.178000,132.500000,23,5,59,5
24,164.900000,147.017000,128.000000,23,5,64,5
25,164.900000,147.107000,131.600000,23,5,60,5
26,164.900000,146.810000,131.600000,23,5,60,5
27,164.900000,149.042000,140.600000,23,5,50,5
28,164.900000,146.747000,133.400000,23,5,58,5
29,164.900000,146.514000,130.800000,23,5,61,4
30,164.900000,146.837000,132.500000,23,5,59,5
31,164.900000,147.287000,134.300000,23,5,57,5
32,164.900000,148.133000,135.200000,23,5,56,5
33,164.900000,147.998000,132.500000,23,5,59,5
34,164.900000,147.332000,130.700000,23,5,61,5
35,164.900000,148.034000,122.600000,23,5,70,5
36,164.900000,149.555000,137.000000,23,5,54,5
37,164.900000,147.323000,127.100000,23,5,65,5
38,164.900000,148.979000,130.700000,23,5,61,5
39,164.900000,148.430000,137.900000,23,5,53,5
40,164.900000,147.269000,131.600000,23,5,60,5
41,164.900000,148.898000,129.800000,23,5,62,5
42,164.900000,147.413000,133.400000,23,5,58,5
43,164.900000,149.006000,137.000000,23,5,54,5
44,164.900000,148.727000,136.100000,23,5,55,5
45,164.900000,147.872000,133.400000,23,5,58,5
