Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,77.350000,69.875000,3.326451,0,19,4
1,77.350000,69.569500,3.592631,2,19,4
2,77.350000,69.894500,3.432659,10,19,4
3,77.350000,70.499000,3.657854,10,19,4
4,77.350000,70.603000,3.239296,10,19,4
5,77.350000,69.933500,3.734073,10,19,4
6,78.650000,70.031000,4.268892,10,17,4
7,78.650000,69.888000,3.559579,10,17,4
8,78.650000,70.486000,3.646170,10,17,4
9,78.650000,70.902000,3.419371,10,17,4
10,78.650000,70.304000,3.581164,10,17,4
11,78.650000,70.889000,3.584819,10,17,4
12,79.300000,70.531500,3.918907,10,16,4
13,79.300000,70.180500,3.700384,10,16,4
14,79.300000,70.622500,3.718517,10,16,4
15,79.300000,70.642000,3.530260,10,16,4
16,79.300000,70.323500,3.956674,10,16,4
17,79.300000,70.479500,3.450827,10,16,4
18,79.300000,70.011500,3.665787,10,16,4
19,79.300000,70.746000,3.853924,10,16,4
20,79.300000,70.648500,3.685787,10,16,4
21,79.950000,70.648500,3.753934,10,15,4
22,79.950000,70.148000,4.077609,10,15,4
23,79.950000,71.116500,3.871835,10,15,4
24,79.950000,70.824000,3.664202,10,15,4
25,79.950000,70.518500,4.250916,10,15,4
26,79.950000,70.180500,3.790626,5,15,4
27,79.950000,70.089500,4.266353,10,15,4
28,79.950000,70.401500,3.976911,10,15,4
29,79.950000,70.284500,3.613971,10,15,4
30,79.950000,69.946500,4.230392,8,15,4
31,79.950000,70.954000,4.233212,6,15,4
32,79.950000,70.691000,3.878230,10,15,4
33,79.950000,70.765500,4.142347,10,15,4
34,79.950000,70.596500,3.591972,10,15,4
35,79.950000,70.031000,3.770695,2,15,4
36,79.950000,71.123000,4.002839,9,15,4
37,79.950000,70.395000,3.961802,10,15,4
38,79.950000,70.876000,4.326208,10,15,4
39,79.950000,70.408000,3.997241,10,15,4
40,79.950000,70.518500,4.037850,10,15,4
41,79.950000,70.596500,3.872707,10,15,4
42,79.950000,71.107000,3.445686,10,15,4
43,79.950000,70.141500,4.099738,10,15,4
44,80.600000,70.694000,3.798047,2,14,4
45,80.600000,70.479500,4.205711,10,14,4
46,80.600000,70.362500,4.161396,10,14,4
47,80.600000,70.837000,4.356436,6,14,4
48,80.600000,70.564000,4.124628,7,14,4
49,80.600000,71.129500,3.717244,2,14,4
