Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,259.200000,251.186000,4.530630,0,20,11
1,259.200000,250.251000,5.469451,10,20,11
2,261.900000,251.013000,4.754023,10,17,11
3,261.900000,250.944000,5.687800,10,17,11
4,261.900000,250.715000,5.787787,10,17,11
5,263.700000,250.505000,5.143450,10,15,11
6,263.700000,250.797000,5.739991,10,15,11
7,263.700000,250.603000,5.120107,10,15,11
8,263.700000,251.789000,5.312380,10,15,11
9,263.700000,251.641000,5.503092,10,15,11
10,263.700000,250.551000,6.016336,10,15,11
11,263.700000,250.749000,6.265485,10,15,11
12,263.700000,250.483000,5.956980,10,15,11
13,263.700000,251.092000,5.789381,10,15,11
14,263.700000,251.081000,5.652233,10,15,11
15,263.700000,249.931000,5.801081,10,15,11
16,263.700000,250.006000,5.652165,10,15,11
17,263.700000,250.721000,5.478947,10,15,11
18,263.700000,250.525000,4.952886,10,15,11
19,263.700000,250.884000,5.532553,10,15,11
20,263.700000,251.106000,5.451143,10,15,11
21,264.600000,250.684000,6.122903,10,14,11
22,264.600000,250.353000,5.833514,10,14,11
23,264.600000,251.079000,5.821792,10,14,11
24,264.600000,250.885000,5.938996,10,14,11
25,264.600000,249.389000,5.913965,10,14,11
26,264.600000,250.574000,5.764228,10,14,11
27,264.600000,250.053000,5.889914,10,14,11
28,264.600000,250.706000,5.705030,10,14,11
29,264.600000,250.358000,6.064589,10,14,11
30,264.600000,250.487000,5.462338,10,14,11
31,264.600000,249.846000,5.464402,10,14,11
32,264.600000,249.833000,5.181372,10,14,11
33,264.600000,250.036000,5.814267,10,14,11
34,264.600000,250.278000,6.344424,10,14,11
35,264.600000,250.263000,5.647701,10,14,11
36,264.600000,249.947000,5.426333,10,14,11
37,264.600000,250.302000,5.565447,10,14,11
38,264.600000,250.748000,5.581066,10,14,11
39,264.600000,251.068000,5.759165,10,14,11
40,264.600000,250.117000,5.547739,10,14,11
41,264.600000,250.135000,5.870816,10,14,11
42,264.600000,250.461000,5.539475,10,14,11
43,264.600000,251.005000,5.791431,10,14,11
44,264.600000,249.744000,5.472044,10,14,11
45,264.600000,250.716000,5.456331,10,14,11
46,264.600000,250.267000,5.387858,10,14,11
47,264.600000,250.828000,5.598323,10,14,11
48,264.600000,250.836000,5.799957,10,14,11
49,264.600000,250.779000,5.209286,10,14,11
50,264.600000,250.602000,6.060825,10,14,11
51,264.600000,250.348000,5.452586,10,14,11
52,264.600000,250.236000,5.586994,10,14,11
53,264.600000,250.600000,5.439908,10,14,11
54,264.600000,250.243000,5.512717,10,14,11
55,264.600000,250.627000,5.465178,10,14,11
56,264.600000,251.056000,5.134030,10,14,11
57,264.600000,250.961000,5.994379,10,14,11
58,264.600000,250.197000,5.625752,10,14,11
59,264.600000,250.804000,5.395478,10,14,11
60,264.600000,250.917000,5.645778,10,14,11
61,264.600000,251.283000,5.648859,10,14,11
62,264.600000,250.889000,5.462415,10,14,11
63,264.600000,249.784000,5.430722,10,14,11
64,264.600000,250.502000,5.783113,10,14,11
65,264.600000,249.641000,5.939901,10,14,11
66,264.600000,250.387000,5.597225,10,14,11
67,264.600000,249.802000,5.467723,10,14,11
68,264.600000,249.898000,5.888497,10,14,11
69,264.600000,250.697000,5.801783,10,14,11
70,264.600000,250.744000,5.535437,10,14,11
71,264.600000,250.653000,5.569371,10,14,11
72,264.600000,250.196000,5.593495,10,14,11
73,264.600000,249.641000,6.530132,10,14,11
74,264.600000,251.260000,5.734597,10,14,11
75,264.600000,250.816000,5.781742,10,14,11
76,264.600000,250.430000,5.543816,10,14,11
77,264.600000,249.782000,5.811444,10,14,11
78,264.600000,249.962000,5.710460,10,14,11
79,264.600000,250.106000,5.223941,10,14,11
80,264.600000,250.012000,5.483015,10,14,11
81,264.600000,250.393000,5.739186,10,14,11
82,264.600000,251.319000,5.437126,10,14,11
83,264.600000,250.928000,5.472021,10,14,11
84,264.600000,250.163000,5.227287,10,14,11
85,264.600000,250.151000,5.267874,10,14,11
86,264.600000,250.569000,6.121743,10,14,11
87,265.500000,250.116000,6.365009,10,13,11
88,265.500000,249.902000,6.027553,10,13,11
89,265.500000,251.105000,6.014871,10,13,11
90,265.500000,250.640000,5.374923,10,13,11
91,265.500000,251.691000,5.288820,10,13,11
92,265.500000,250.446000,5.780284,10,13,11
93,265.500000,250.369000,5.738165,10,13,11
94,265.500000,249.993000,5.469996,10,13,11
95,265.500000,250.313000,5.658032,10,13,11
96,265.500000,250.133000,5.759654,10,13,11
97,265.500000,249.718000,5.754865,10,13,11
98,265.500000,250.143000,6.223974,10,13,11
99,265.500000,250.154000,6.077539,10,13,11
100,265.500000,250.554000,6.167324,10,13,11
101,265.500000,250.943000,5.938422,10,13,11
102,265.500000,250.528000,5.399075,10,13,11
103,265.500000,250.591000,5.341144,10,13,11
104,265.500000,250.135000,5.844234,10,13,11
105,265.500000,251.298000,5.989073,10,13,11
106,265.500000,251.274000,5.680680,10,13,11
107,265.500000,250.646000,5.437084,10,13,11
108,265.500000,250.375000,6.106707,10,13,11
109,265.500000,249.532000,6.098490,10,13,11
110,265.500000,249.819000,6.294882,10,13,11
111,265.500000,251.040000,6.138306,10,13,11
112,265.500000,250.863000,6.121563,10,13,11
113,265.500000,250.613000,6.013363,10,13,11
114,265.500000,250.551000,5.639707,10,13,11
115,265.500000,250.079000,5.470727,10,13,11
116,265.500000,250.836000,5.338249,10,13,11
117,265.500000,250.564000,5.931602,10,13,11
118,265.500000,249.847000,5.554970,10,13,11
119,265.500000,251.709000,5.655106,10,13,11
120,265.500000,250.527000,6.211922,10,13,11
121,265.500000,251.027000,5.923459,10,13,11
122,265.500000,250.789000,5.643827,10,13,11
123,265.500000,249.782000,6.287374,10,13,11
124,265.500000,251.538000,5.672597,10,13,11
125,265.500000,250.731000,5.491697,10,13,11
126,265.500000,249.719000,5.888832,10,13,11
127,266.400000,250.526000,5.978672,10,12,11
128,266.400000,250.272000,5.930769,10,12,11
129,266.400000,251.114000,5.918547,10,12,11
130,266.400000,251.059000,5.962048,10,12,11
131,266.400000,251.600000,6.257843,10,12,11
132,266.400000,250.457000,5.334534,10,12,11
133,266.400000,250.964000,5.419659,10,12,11
134,266.400000,250.321000,6.145035,10,12,11
135,266.400000,250.757000,5.645038,10,12,11
136,266.400000,249.862000,6.102881,10,12,11
137,266.400000,250.055000,6.009499,10,12,11
138,266.400000,250.026000,5.634352,10,12,11
139,266.400000,250.648000,5.389888,10,12,11
140,266.400000,250.485000,5.672731,10,12,11
141,266.400000,249.937000,6.178101,10,12,11
142,266.400000,249.793000,5.086988,10,12,11
143,266.400000,250.675000,5.625467,10,12,11
144,266.400000,250.744000,5.636618,10,12,11
145,266.400000,250.366000,5.059945,10,12,11
146,266.400000,251.107000,5.310654,10,12,11
147,266.400000,249.390000,5.359431,10,12,11
148,266.400000,250.450000,5.498791,10,12,11
149,266.400000,250.262000,5.463859,10,12,11
150,266.400000,250.081000,5.374359,10,12,11
151,266.400000,250.050000,5.784505,10,12,11
152,266.400000,250.711000,5.521846,10,12,11
153,266.400000,250.059000,5.623239,10,12,11
154,266.400000,251.643000,5.320475,10,12,11
155,266.400000,250.091000,5.529504,10,12,11
156,266.400000,250.052000,5.548234,10,12,11
157,266.400000,250.081000,6.575206,10,12,11
158,266.400000,250.693000,5.750517,10,12,11
159,266.400000,250.693000,5.886175,10,12,11
160,266.400000,251.372000,5.446303,10,12,11
161,266.400000,250.742000,5.586433,10,12,11
162,266.400000,250.422000,5.433058,10,12,11
163,266.400000,250.697000,5.081151,10,12,11
164,266.400000,250.745000,6.047254,10,12,11
165,266.400000,250.325000,5.209690,10,12,11
166,266.400000,250.360000,5.580753,10,12,11
167,266.400000,251.383000,5.898526,10,12,11
168,266.400000,250.600000,5.451807,10,12,11
169,266.400000,250.340000,5.076810,10,12,11
170,266.400000,249.907000,5.958914,10,12,11
171,266.400000,250.092000,5.671114,10,12,11
172,266.400000,250.806000,5.548078,10,12,11
173,266.400000,249.549000,6.069852,10,12,11
174,266.400000,250.616000,5.994593,10,12,11
175,266.400000,250.574000,5.684200,10,12,11
176,266.400000,250.546000,5.646174,10,12,11
177,266.400000,250.256000,5.326562,10,12,11
178,266.400000,250.575000,5.835261,10,12,11
179,266.400000,250.602000,5.425864,10,12,11
180,266.400000,250.088000,5.861114,10,12,11
181,266.400000,250.725000,5.349269,10,12,11
182,266.400000,250.305000,5.910793,10,12,11
183,266.400000,249.981000,5.689916,10,12,11
184,266.400000,250.526000,5.434568,10,12,11
185,266.400000,250.439000,5.927190,10,12,11
186,266.400000,250.518000,5.592806,10,12,11
187,266.400000,249.657000,5.648934,10,12,11
188,266.400000,250.648000,5.616075,10,12,11
189,266.400000,250.208000,5.725429,10,12,11
190,266.400000,251.051000,6.189887,10,12,11
191,266.400000,250.400000,5.822766,10,12,11
192,266.400000,251.087000,5.571475,10,12,11
193,266.400000,251.241000,6.392435,10,12,11
194,266.400000,250.337000,6.384742,10,12,11
195,266.400000,250.522000,5.447340,10,12,11
196,266.400000,251.057000,6.195357,10,12,11
197,266.400000,250.204000,6.065524,10,12,11
198,266.400000,250.414000,6.256197,10,12,11
199,266.400000,250.545000,6.479172,10,12,11
200,266.400000,251.142000,6.149539,10,12,11
201,266.400000,250.512000,6.321571,10,12,11
202,266.400000,250.392000,6.012615,10,12,11
203,266.400000,250.283000,6.402422,10,12,11
204,266.400000,250.722000,5.941003,10,12,11
205,266.400000,249.981000,5.513034,10,12,11
206,266.400000,250.830000,6.240937,10,12,11
207,266.400000,250.172000,5.978663,10,12,11
208,266.400000,249.766000,5.032896,10,12,11
209,266.400000,249.292000,6.381139,10,12,11
