Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,234.340000,225.192600,5.176639,0,18,10
1,234.340000,226.133100,5.344515,8,18,10
2,237.310000,226.885500,5.274787,10,15,10
3,237.310000,226.439900,5.698873,10,15,10
4,237.310000,227.628000,5.185059,10,15,10
5,237.310000,226.281800,5.380786,10,15,10
6,240.280000,226.558700,6.051174,10,12,10
7,240.280000,227.430100,5.951405,10,12,10
8,240.280000,226.232100,5.810986,10,12,10
9,240.280000,226.915100,5.370684,10,12,10
10,240.280000,227.628000,5.557056,10,12,10
11,240.280000,226.549100,6.072821,10,12,10
12,240.280000,226.647800,6.323322,10,12,10
13,240.280000,226.895500,6.098390,10,12,10
14,240.280000,227.697300,4.995940,10,12,10
15,240.280000,226.281500,5.808173,10,12,10
16,240.280000,226.935500,6.198698,10,12,10
17,240.280000,227.420200,5.104508,10,12,10
18,240.280000,226.499500,5.982185,10,12,10
19,240.280000,227.242100,5.636991,10,12,10
20,240.280000,227.291700,5.788131,10,12,10
21,240.280000,225.875600,6.025660,10,12,10
22,240.280000,227.687400,5.693943,10,12,10
23,240.280000,225.984400,6.345769,10,12,10
24,240.280000,226.351000,5.973248,10,12,10
25,240.280000,226.172600,6.361284,10,12,10
26,240.280000,226.826300,6.134366,10,12,10
27,240.280000,226.172700,6.568690,10,12,10
28,240.280000,226.321400,5.739119,10,12,10
29,240.280000,227.212300,5.817854,10,12,10
30,240.280000,227.143200,6.097642,10,12,10
31,241.270000,227.083700,6.217084,10,11,10
32,241.270000,227.687300,5.642231,10,11,10
33,241.270000,227.360700,5.733860,10,11,10
34,241.270000,227.143000,6.819584,10,11,10
35,241.270000,227.677400,6.050921,10,11,10
36,241.270000,226.588400,6.091538,10,11,10
37,241.270000,227.380400,5.962193,10,11,10
38,241.270000,226.955000,6.619328,10,11,10
39,241.270000,227.766400,6.053621,10,11,10
40,241.270000,226.618100,6.638122,10,11,10
41,241.270000,227.529100,6.002577,10,11,10
42,241.270000,226.895400,6.321242,10,11,10
43,241.270000,227.796200,6.196483,10,11,10
44,241.270000,228.014100,6.123311,10,11,10
45,241.270000,226.558700,6.431189,10,11,10
46,241.270000,227.301400,5.937949,10,11,10
47,241.270000,227.875700,5.645924,10,11,10
48,241.270000,226.766500,6.146577,10,11,10
49,241.270000,227.459800,6.339452,10,11,10
50,241.270000,226.509100,6.222203,10,11,10
51,241.270000,226.954900,6.620892,10,11,10
52,241.270000,227.469500,5.722798,10,11,10
53,241.270000,227.479400,6.233343,10,11,10
