Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,131.100000,117.762000,5.222141,0,31,4
1,131.100000,118.410000,5.990918,10,31,4
2,132.000000,116.178000,6.720753,4,30,4
3,132.000000,117.537000,6.585707,6,30,4
4,133.800000,116.889000,7.088087,7,28,4
5,133.800000,117.087000,7.492472,10,28,4
6,133.800000,117.600000,6.630747,10,28,4
7,133.800000,117.960000,6.497476,8,28,4
8,133.800000,118.689000,7.207078,10,28,4
9,133.800000,118.581000,7.391072,10,28,4
10,133.800000,118.401000,6.691420,10,28,4
11,133.800000,118.887000,6.736492,10,28,4
12,133.800000,118.968000,6.851217,10,28,4
13,133.800000,118.887000,6.396025,10,28,4
14,133.800000,118.185000,7.018125,10,28,4
15,133.800000,117.933000,6.850242,9,28,4
16,133.800000,118.734000,6.654671,10,28,4
17,133.800000,118.302000,6.797926,10,28,4
18,133.800000,118.176000,6.172084,10,28,4
19,133.800000,117.303000,7.377865,10,28,4
20,133.800000,118.707000,6.884682,10,28,4
21,133.800000,118.140000,6.927077,10,28,4
22,133.800000,118.140000,6.755398,10,28,4
23,133.800000,118.104000,7.145025,10,28,4
24,133.800000,118.347000,6.710953,10,28,4
25,133.800000,118.653000,6.899021,10,28,4
26,134.700000,118.509000,7.245414,10,27,4
27,134.700000,118.140000,6.700015,10,27,4
28,134.700000,119.031000,6.903763,10,27,4
29,134.700000,118.338000,7.706838,10,27,4
30,136.500000,118.401000,7.225711,10,25,4
31,136.500000,119.103000,6.805637,10,25,4
32,136.500000,117.627000,7.166685,10,25,4
33,136.500000,118.041000,7.082600,10,25,4
34,136.500000,118.491000,6.511791,10,25,4
35,136.500000,118.050000,7.326575,10,25,4
36,136.500000,118.419000,7.039697,10,25,4
37,136.500000,119.040000,6.278105,10,25,4
38,136.500000,117.852000,7.752632,10,25,4
39,136.500000,118.905000,6.628761,10,25,4
40,136.500000,119.022000,7.124431,10,25,4
41,136.500000,118.473000,7.406792,10,25,4
42,136.500000,118.158000,7.094352,10,25,4
43,136.500000,118.122000,7.008660,10,25,4
44,136.500000,117.987000,7.748634,10,25,4
45,136.500000,119.067000,7.041492,10,25,4
46,136.500000,118.482000,7.207848,10,25,4
47,136.500000,118.743000,6.925738,10,25,4
48,136.500000,118.023000,7.455841,10,25,4
49,136.500000,119.175000,7.356227,10,25,4
50,136.500000,118.698000,7.433128,10,25,4
51,136.500000,118.257000,7.207708,10,25,4
52,136.500000,118.320000,7.484624,10,25,4
53,136.500000,118.887000,6.549941,10,25,4
54,136.500000,118.167000,7.435389,10,25,4
55,136.500000,117.960000,7.680117,10,25,4
56,136.500000,118.320000,7.480294,10,25,4
57,136.500000,117.708000,7.410974,10,25,4
58,136.500000,119.229000,7.894077,10,25,4
59,136.500000,118.824000,6.853629,10,25,4
60,136.500000,119.202000,7.193900,10,25,4
61,136.500000,118.068000,7.125909,10,25,4
62,136.500000,118.923000,6.833430,10,25,4
63,136.500000,118.059000,7.517554,10,25,4
64,136.500000,117.726000,7.715914,10,25,4
65,136.500000,117.870000,7.208433,10,25,4
66,136.500000,118.554000,7.170487,10,25,4
67,136.500000,118.806000,7.359359,10,25,4
68,136.500000,117.834000,7.598068,10,25,4
69,136.500000,119.094000,7.363760,10,25,4
70,136.500000,118.374000,7.960824,10,25,4
71,136.500000,118.455000,7.330858,10,25,4
72,136.500000,117.978000,7.609318,10,25,4
73,136.500000,118.338000,7.326442,10,25,4
74,136.500000,118.950000,7.914373,10,25,4
75,136.500000,119.292000,7.067470,10,25,4
76,136.500000,118.590000,7.468916,10,25,4
77,136.500000,118.878000,7.255117,10,25,4
78,136.500000,118.950000,6.642341,10,25,4
79,136.500000,118.923000,7.552984,10,25,4
80,136.500000,118.842000,7.019746,10,25,4
81,136.500000,119.301000,6.657439,10,25,4
82,136.500000,119.130000,6.670330,10,25,4
83,136.500000,119.094000,7.047891,10,25,4
84,136.500000,117.870000,7.556249,10,25,4
85,136.500000,117.996000,7.689940,10,25,4
86,136.500000,117.132000,7.544427,10,25,4
87,136.500000,117.906000,7.450152,10,25,4
88,136.500000,119.589000,7.054869,10,25,4
89,136.500000,118.437000,7.671944,10,25,4
90,136.500000,118.887000,7.884385,10,25,4
91,136.500000,118.491000,7.190426,10,25,4
