Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
1,60.300000,52.073000,41.500000,6,5,27,4
2,61.200000,52.324000,36.900000,5,5,32,5
3,61.200000,51.164000,40.600000,5,5,28,4
4,61.200000,52.575000,42.400000,5,5,26,4
5,61.200000,52.533000,40.500000,5,5,28,5
6,61.200000,51.489000,40.500000,5,5,28,5
7,61.200000,51.995000,45.900000,5,5,22,5
8,61.200000,51.380000,43.200000,5,5,25,5
9,61.200000,51.594000,40.500000,5,5,28,5
10,61.200000,51.963000,43.200000,5,5,25,5
11,61.200000,51.934000,43.200000,5,5,25,5
12,61.200000,52.576000,43.200000,5,5,25,5
13,61.200000,52.127000,43.200000,5,5,25,5
14,61.200000,52.243000,44.100000,5,5,24,5
15,61.200000,53.445000,43.300000,5,5,25,4
16,61.200000,52.620000,42.400000,5,5,26,4
17,61.200000,51.680000,42.300000,5,5,26,5
18,61.200000,51.489000,41.400000,5,5,27,5
19,61.200000,52.409000,42.400000,5,5,26,4
20,61.200000,52.045000,41.500000,5,5,27,4
21,61.200000,52.672000,45.000000,5,5,23,5
22,61.200000,52.283000,44.200000,5,5,24,4
23,62.100000,52.845000,41.400000,4,5,27,5
24,62.100000,51.796000,43.200000,4,5,25,5
25,62.100000,51.843000,44.100000,4,5,24,5
26,62.100000,52.467000,44.100000,4,5,24,5
27,62.100000,51.857000,43.200000,4,5,25,5
28,62.100000,51.543000,42.400000,4,5,26,4
29,62.100000,51.647000,43.200000,4,5,25,5
30,62.100000,52.209000,44.100000,4,5,24,5
31,62.100000,52.239000,37.800000,4,5,31,5
32,62.100000,52.161000,44.100000,4,5,24,5
33,62.100000,52.133000,40.500000,4,5,28,5
34,62.100000,52.370000,45.000000,4,5,23,5
35,63.000000,52.152000,41.400000,3,5,27,5
36,63.000000,51.873000,41.500000,3,5,27,4
37,63.000000,51.996000,42.300000,3,5,26,5
38,63.000000,52.198000,44.100000,3,5,24,5
39,63.000000,51.900000,41.400000,3,5,27,5
40,63.000000,52.417000,40.600000,3,5,28,4
41,63.000000,52.137000,44.200000,3,5,24,4
42,63.000000,51.921000,43.200000,3,5,25,5
43,63.000000,51.751000,44.200000,3,5,24,4
44,63.000000,52.377000,43.200000,3,5,25,5
45,63.000000,51.902000,43.200000,3,5,25,5
46,63.000000,52.284000,43.300000,3,5,25,4
47,63.000000,52.038000,42.400000,3,5,26,4
48,63.000000,52.376000,45.900000,3,5,22,5
49,63.000000,51.708000,41.500000,3,5,27,4
50,63.000000,52.637000,45.000000,3,5,23,5
51,63.000000,51.996000,41.500000,3,5,27,4
52,63.000000,51.735000,40.600000,3,5,28,4
53,63.000000,52.818000,43.200000,3,5,25,5
54,63.000000,52.668000,43.300000,3,5,25,4
55,63.000000,52.630000,45.100000,3,5,23,4
56,63.000000,51.842000,42.300000,3,5,26,5
57,63.000000,52.911000,44.200000,3,5,24,4
58,63.000000,52.152000,42.400000,3,5,26,4
59,63.000000,52.504000,42.400000,3,5,26,4
60,63.000000,52.081000,44.100000,3,5,24,5
61,63.000000,51.718000,40.500000,3,5,28,5
62,63.000000,52.433000,42.300000,3,5,26,5
63,63.000000,51.495000,43.300000,3,5,25,4
64,63.000000,52.100000,42.300000,3,5,26,5
65,63.000000,52.487000,39.700000,3,5,29,4
66,63.000000,52.489000,43.300000,3,5,25,4
67,63.000000,52.256000,37.000000,3,5,32,4
68,63.000000,52.118000,44.100000,3,5,24,5
69,63.000000,52.058000,43.300000,3,5,25,4
70,63.000000,51.561000,36.100000,3,5,33,4
71,63.000000,52.424000,42.300000,3,5,26,5
72,63.000000,51.419000,41.400000,3,5,27,5
73,63.000000,52.386000,45.900000,3,5,22,5
74,63.000000,52.717000,44.100000,3,5,24,5
75,63.000000,52.709000,42.300000,3,5,26,5
76,63.000000,52.185000,43.300000,3,5,25,4
77,63.000000,52.621000,44.100000,3,5,24,5
78,63.000000,51.811000,45.000000,3,5,23,5
79,63.000000,52.792000,43.300000,3,5,25,4
80,63.000000,52.009000,40.600000,3,5,28,4
81,63.000000,52.249000,41.400000,3,5,27,5
82,63.000000,52.522000,41.400000,3,5,27,5
83,63.000000,52.481000,43.200000,3,5,25,5
84,63.000000,51.997000,45.900000,3,5,22,5
85,63.000000,52.825000,44.100000,3,5,24,5
86,63.000000,52.159000,39.700000,3,5,29,4
87,63.000000,52.639000,44.200000,3,5,24,4
88,63.000000,52.100000,45.000000,3,5,23,5
89,63.000000,52.737000,40.600000,3,5,28,4
90,63.000000,51.873000,41.500000,3,5,27,4
91,63.000000,52.309000,43.300000,3,5,25,4
92,63.000000,52.933000,41.500000,3,5,27,4
93,63.000000,52.653000,44.100000,3,5,24,5
94,63.000000,51.453000,42.300000,3,5,26,5
95,63.000000,53.017000,45.000000,3,5,23,5
96,63.000000,51.301000,42.400000,3,5,26,4
97,63.000000,52.665000,43.200000,3,5,25,5
98,63.000000,52.651000,42.300000,3,5,26,5
99,63.000000,52.253000,45.000000,3,5,23,5
100,63.000000,52.474000,44.100000,3,5,24,5
101,63.000000,52.165000,44.200000,3,5,24,4
102,63.000000,52.057000,43.200000,3,5,25,5
103,63.000000,52.525000,45.000000,3,5,23,5
104,63.000000,52.439000,45.000000,3,5,23,5
105,63.000000,52.592000,42.400000,3,5,26,4
106,63.000000,53.196000,45.000000,3,5,23,5
107,64.800000,52.996000,45.000000,1,5,23,5
108,64.800000,52.620000,45.000000,1,5,23,5
109,64.800000,52.762000,45.000000,1,5,23,5
110,64.800000,52.937000,42.300000,1,5,26,5
111,64.800000,52.562000,43.200000,1,5,25,5
112,64.800000,51.983000,41.500000,1,5,27,4
113,64.800000,52.434000,45.000000,1,5,23,5
114,64.800000,52.823000,46.800000,1,5,21,5
115,64.800000,52.459000,41.500000,1,5,27,4
116,64.800000,51.289000,44.100000,1,5,24,5
117,64.800000,52.905000,45.000000,1,5,23,5
118,64.800000,52.454000,42.300000,1,5,26,5
119,64.800000,52.289000,41.500000,1,5,27,4
120,64.800000,51.759000,44.100000,1,5,24,5
