Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
1,50.050000,46.373500,40.700000,1,10,17,7
2,50.050000,46.386000,41.950000,1,10,14,9
3,50.050000,46.414500,41.950000,1,10,14,9
4,50.050000,46.493000,42.300000,1,10,14,8
5,50.050000,46.237000,40.650000,1,10,16,9
6,50.050000,46.102500,41.950000,1,10,14,9
7,50.050000,46.359000,42.300000,1,10,14,8
8,50.100000,46.334000,39.750000,2,8,19,6
9,50.100000,46.312500,42.600000,2,8,13,9
10,50.100000,46.306000,42.300000,2,8,14,8
11,50.100000,46.454500,41.650000,2,8,15,8
12,50.750000,46.511000,41.650000,1,8,15,8
13,50.750000,46.459000,42.300000,1,8,14,8
14,50.750000,46.250500,41.600000,1,8,14,10
15,50.750000,46.210500,41.650000,1,8,15,8
16,50.750000,46.225000,43.250000,1,8,12,9
17,50.750000,46.434000,42.300000,1,8,14,8
18,50.750000,46.243000,42.000000,1,8,15,7
19,50.750000,46.507000,42.600000,1,8,13,9
20,50.750000,46.543500,41.000000,1,8,16,8
21,50.750000,46.527000,42.300000,1,8,14,8
22,50.750000,46.352500,41.000000,1,8,16,8
23,50.750000,45.928500,39.350000,1,8,18,9
24,50.750000,46.579500,42.300000,1,8,14,8
25,50.750000,46.714000,43.600000,1,8,12,8
26,50.750000,46.361000,41.300000,1,8,15,9
27,50.750000,46.290000,42.650000,1,8,14,7
28,50.750000,45.924500,42.950000,1,8,13,8
29,50.750000,46.264500,42.300000,1,8,14,8
30,50.750000,46.481500,40.350000,1,8,17,8
31,50.750000,46.585500,42.300000,1,8,14,8
32,50.750000,46.406500,42.300000,1,8,14,8
33,50.750000,46.455500,41.350000,1,8,16,7
34,50.750000,46.540000,42.600000,1,8,13,9
35,50.750000,46.034000,40.650000,1,8,16,9
36,50.750000,46.323500,42.600000,1,8,13,9
37,50.750000,46.146000,41.950000,1,8,14,9
38,50.750000,46.229000,42.000000,1,8,15,7
39,50.750000,46.216500,42.300000,1,8,14,8
40,50.750000,46.303500,42.000000,1,8,15,7
41,50.750000,46.071500,40.100000,1,8,19,5
42,50.750000,46.529500,41.950000,1,8,14,9
43,50.750000,46.390000,41.950000,1,8,14,9
44,50.750000,46.545500,42.950000,1,8,13,8
45,50.750000,46.140000,40.400000,1,8,18,6
46,50.750000,46.504000,42.000000,1,8,15,7
47,50.750000,46.695000,40.650000,1,8,16,9
48,50.750000,46.421000,39.750000,1,8,19,6
49,50.750000,46.050000,41.350000,1,8,16,7
50,50.750000,46.572500,40.350000,1,8,17,8
51,50.750000,46.828500,40.950000,1,8,15,10
52,50.750000,46.491500,42.650000,1,8,14,7
53,50.750000,46.286000,41.000000,1,8,16,8
54,50.750000,46.440500,42.300000,1,8,14,8
55,50.750000,46.226000,40.650000,1,8,16,9
56,50.750000,46.351500,42.300000,1,8,14,8
57,51.050000,46.429000,42.300000,0,9,14,8
58,51.050000,46.242500,41.650000,0,9,15,8
59,51.050000,46.386500,43.250000,0,9,12,9
60,51.050000,46.451500,42.300000,0,9,14,8
61,51.050000,46.279500,42.950000,0,9,13,8
62,51.050000,46.398000,41.650000,0,9,15,8
63,51.050000,45.975000,41.950000,0,9,14,9
64,51.050000,46.551500,42.600000,0,9,13,9
65,51.050000,46.356500,42.600000,0,9,13,9
66,51.050000,46.402500,40.650000,0,9,16,9
67,51.050000,46.438500,41.650000,0,9,15,8
68,51.050000,46.209000,42.600000,0,9,13,9
69,51.050000,46.575500,41.000000,0,9,16,8
70,51.050000,46.345500,40.700000,0,9,17,7
71,51.050000,45.993500,42.300000,0,9,14,8
72,51.050000,46.336000,41.050000,0,9,17,6
73,51.050000,46.295000,42.250000,0,9,13,10
74,51.050000,46.377500,41.000000,0,9,16,8
75,51.050000,46.167000,42.950000,0,9,13,8
76,51.050000,46.454500,42.600000,0,9,13,9
77,51.050000,46.343500,42.300000,0,9,14,8
78,51.050000,46.417500,41.300000,0,9,15,9
79,51.050000,46.216500,42.300000,0,9,14,8
80,51.050000,46.370000,43.250000,0,9,12,9
81,51.050000,46.498000,43.250000,0,9,12,9
82,51.050000,46.614000,42.950000,0,9,13,8
83,51.050000,46.194500,39.350000,0,9,18,9
84,51.050000,46.321500,41.000000,0,9,16,8
85,51.050000,46.378000,42.650000,0,9,14,7
86,51.050000,46.392000,40.650000,0,9,16,9
87,51.050000,46.149500,42.600000,0,9,13,9
88,51.050000,46.479000,42.000000,0,9,15,7
89,51.050000,46.584500,42.250000,0,9,13,10
90,51.050000,46.423500,43.550000,0,9,11,10
91,51.050000,46.377500,43.250000,0,9,12,9
92,51.050000,46.270500,42.600000,0,9,13,9
93,51.050000,46.321000,41.300000,0,9,15,9
94,51.050000,46.243000,41.650000,0,9,15,8
95,51.050000,46.539500,41.000000,0,9,16,8
96,51.050000,46.527500,43.000000,0,9,14,6
97,51.050000,46.248500,40.350000,0,9,17,8
98,51.050000,46.490000,42.000000,0,9,15,7
99,51.050000,46.558000,41.650000,0,9,15,8
100,51.050000,46.167500,41.350000,0,9,16,7
101,51.050000,46.218500,41.650000,0,9,15,8
102,51.050000,46.501000,42.600000,0,9,13,9
103,51.050000,46.375500,41.300000,0,9,15,9
104,51.050000,46.315000,41.950000,0,9,14,9
105,51.050000,46.390000,42.250000,0,9,13,10
106,51.050000,46.412000,41.950000,0,9,14,9
107,51.050000,46.355000,42.300000,0,9,14,8
108,51.050000,46.430000,40.050000,0,9,18,7
109,51.050000,46.268000,42.000000,0,9,15,7
110,51.050000,46.312000,41.650000,0,9,15,8
111,51.050000,46.205000,42.000000,0,9,15,7
112,51.050000,46.229500,41.000000,0,9,16,8
113,51.050000,46.288000,43.550000,0,9,11,10
114,51.050000,46.307500,41.650000,0,9,15,8
115,51.050000,46.532500,42.600000,0,9,13,9
116,51.050000,46.215000,42.300000,0,9,14,8
117,51.050000,46.104000,41.300000,0,9,15,9
118,51.050000,46.669000,42.000000,0,9,15,7
119,51.050000,46.192000,40.700000,0,9,17,7
120,51.050000,46.204000,41.650000,0,9,15,8
121,51.050000,46.582000,41.000000,0,9,16,8
122,51.050000,46.293000,42.900000,0,9,12,10
123,51.050000,46.233000,40.700000,0,9,17,7
124,51.050000,46.092500,42.950000,0,9,13,8
125,51.050000,46.419000,42.300000,0,9,14,8
126,51.050000,46.193500,42.600000,0,9,13,9
127,51.050000,45.987500,43.250000,0,9,12,9
128,51.050000,46.419000,41.650000,0,9,15,8
129,51.050000,46.243500,41.650000,0,9,15,8
130,51.050000,46.418500,42.600000,0,9,13,9
131,51.050000,46.390500,41.950000,0,9,14,9
132,51.050000,46.337500,42.600000,0,9,13,9
133,51.050000,46.117000,41.950000,0,9,14,9
134,51.050000,46.650000,42.950000,0,9,13,8
135,51.050000,46.170500,41.350000,0,9,16,7
136,51.050000,46.045000,41.300000,0,9,15,9
137,51.050000,46.432500,42.600000,0,9,13,9
138,51.050000,46.248000,42.600000,0,9,13,9
139,51.050000,46.490500,43.250000,0,9,12,9
140,51.050000,46.448500,40.700000,0,9,17,7
141,51.050000,46.376000,42.600000,0,9,13,9
142,51.050000,46.499500,41.950000,0,9,14,9
143,51.050000,46.422000,40.650000,0,9,16,9
144,51.050000,46.272500,40.050000,0,9,18,7
145,51.050000,46.041000,41.950000,0,9,14,9
146,51.050000,46.565500,41.650000,0,9,15,8
147,51.050000,46.231000,42.600000,0,9,13,9
148,51.050000,46.374000,42.600000,0,9,13,9
149,51.050000,46.609000,42.300000,0,9,14,8
150,51.050000,46.211000,41.650000,0,9,15,8
151,51.050000,46.690000,42.950000,0,9,13,8
152,51.050000,46.364500,42.300000,0,9,14,8
153,51.050000,46.488500,42.950000,0,9,13,8
154,51.050000,46.640000,43.600000,0,9,12,8
155,51.050000,46.503000,41.600000,0,9,14,10
156,51.050000,46.124000,38.100000,0,9,21,7
157,51.050000,46.507000,42.600000,0,9,13,9
158,51.050000,46.322000,43.250000,0,9,12,9
159,51.050000,46.401000,41.350000,0,9,16,7
160,51.050000,46.182500,41.350000,0,9,16,7
161,51.050000,46.563500,41.350000,0,9,16,7
162,51.050000,46.513500,41.300000,0,9,15,9
163,51.050000,46.096000,42.300000,0,9,14,8
164,51.050000,46.363000,41.300000,0,9,15,9
165,51.050000,46.288000,41.950000,0,9,14,9
166,51.050000,46.641500,40.300000,0,9,16,10
167,51.050000,46.350500,40.650000,0,9,16,9
168,51.050000,46.384500,43.250000,0,9,12,9
169,51.100000,46.473000,42.000000,1,7,15,7
170,51.100000,46.381500,41.350000,1,7,16,7
171,51.100000,46.166000,41.000000,1,7,16,8
172,51.100000,46.494500,41.650000,1,7,15,8
173,51.100000,46.410500,41.950000,1,7,14,9
174,51.100000,46.329500,41.650000,1,7,15,8
175,51.100000,46.479000,42.600000,1,7,13,9
176,51.100000,46.444000,42.600000,1,7,13,9
177,51.100000,46.353000,40.350000,1,7,17,8
178,51.100000,46.120500,42.600000,1,7,13,9
179,51.100000,46.721500,41.000000,1,7,16,8
180,51.100000,46.424000,42.300000,1,7,14,8
181,51.100000,46.326000,41.650000,1,7,15,8
182,51.100000,46.251000,41.650000,1,7,15,8
183,51.100000,46.394500,42.600000,1,7,13,9
184,51.100000,46.566500,42.650000,1,7,14,7
185,51.100000,46.090000,42.300000,1,7,14,8
186,51.100000,46.245500,41.650000,1,7,15,8
187,51.100000,46.438000,42.600000,1,7,13,9
188,51.100000,46.357500,42.000000,1,7,15,7
189,51.100000,46.467000,41.700000,1,7,16,6
190,51.100000,46.536500,41.050000,1,7,17,6
191,51.100000,46.347000,41.950000,1,7,14,9
192,51.100000,46.560500,41.950000,1,7,14,9
193,51.100000,46.199000,42.000000,1,7,15,7
194,51.100000,46.589500,42.950000,1,7,13,8
195,51.100000,46.017000,41.650000,1,7,15,8
196,51.100000,46.502000,40.400000,1,7,18,6
197,51.100000,46.199500,42.350000,1,7,15,6
198,51.100000,46.293500,42.600000,1,7,13,9
199,51.100000,46.230000,41.000000,1,7,16,8
200,51.100000,46.324000,42.250000,1,7,13,10
201,51.100000,46.353500,42.000000,1,7,15,7
202,51.100000,46.316500,42.600000,1,7,13,9
203,51.100000,46.427500,42.300000,1,7,14,8
204,51.100000,46.406000,41.350000,1,7,16,7
205,51.100000,46.380000,42.300000,1,7,14,8
206,51.100000,46.985000,42.300000,1,7,14,8
207,51.100000,46.557000,42.950000,1,7,13,8
208,51.100000,45.984000,41.300000,1,7,15,9
209,51.100000,46.639500,41.350000,1,7,16,7
210,51.100000,46.381500,39.750000,1,7,19,6
211,51.100000,46.433500,40.300000,1,7,16,10
212,51.100000,46.323500,42.300000,1,7,14,8
213,51.100000,46.575000,42.950000,1,7,13,8
214,51.100000,46.664500,42.600000,1,7,13,9
215,51.100000,46.490500,41.350000,1,7,16,7
216,51.100000,46.511500,43.600000,1,7,12,8
217,51.100000,46.264000,41.300000,1,7,15,9
218,51.100000,46.494500,41.650000,1,7,15,8
219,51.100000,46.451000,42.600000,1,7,13,9
220,51.100000,46.433000,42.300000,1,7,14,8
