Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,125.300000,114.572000,6.195435,0,23,5
1,125.300000,113.763000,5.827155,10,23,5
2,126.200000,115.611000,4.490788,10,22,5
3,128.900000,114.779000,5.181280,10,19,5
4,128.900000,115.561000,6.161264,10,19,5
5,128.900000,114.857000,6.094215,10,19,5
6,128.900000,114.851000,5.662464,10,19,5
7,128.900000,115.193000,6.152532,10,19,5
8,130.700000,114.260000,5.741028,10,17,5
9,130.700000,114.042000,6.169800,10,17,5
10,130.700000,115.198000,5.032872,10,17,5
11,130.700000,114.326000,5.984758,10,17,5
12,130.700000,115.141000,5.761304,10,17,5
13,130.700000,114.400000,5.602678,10,17,5
14,130.700000,114.176000,5.611633,10,17,5
15,130.700000,115.036000,6.595931,10,17,5
16,130.700000,114.935000,5.313819,10,17,5
17,130.700000,115.706000,5.066178,10,17,5
18,130.700000,115.402000,6.216606,10,17,5
19,130.700000,115.117000,5.103843,10,17,5
20,130.700000,116.123000,5.187964,10,17,5
21,130.700000,114.774000,6.147660,10,17,5
22,130.700000,115.171000,5.998371,10,17,5
23,130.700000,115.954000,5.656932,10,17,5
24,130.700000,115.676000,5.895458,10,17,5
25,131.600000,115.057000,5.962923,10,16,5
26,131.600000,114.763000,6.330239,10,16,5
27,131.600000,115.117000,6.395390,10,16,5
28,131.600000,113.709000,5.566509,10,16,5
29,131.600000,114.779000,6.641766,10,16,5
30,131.600000,115.439000,5.718494,10,16,5
31,131.600000,114.775000,6.285163,10,16,5
32,131.600000,114.564000,5.962575,10,16,5
33,131.600000,114.606000,5.859707,10,16,5
34,131.600000,114.500000,5.839144,10,16,5
35,131.600000,115.982000,5.036276,10,16,5
36,131.600000,115.439000,5.895183,10,16,5
37,131.600000,114.976000,5.450525,10,16,5
38,131.600000,114.766000,6.108293,10,16,5
39,131.600000,114.072000,5.005319,10,16,5
40,131.600000,115.130000,5.783468,10,16,5
41,131.600000,115.155000,5.987844,10,16,5
42,131.600000,114.358000,6.642803,10,16,5
43,131.600000,114.592000,5.766779,10,16,5
44,131.600000,114.204000,5.419445,10,16,5
45,131.600000,113.132000,6.035642,10,16,5
46,131.600000,114.802000,5.021235,10,16,5
47,131.600000,114.618000,6.310268,10,16,5
48,131.600000,114.840000,6.279060,10,16,5
49,131.600000,114.847000,6.097072,10,16,5
50,131.600000,115.576000,5.842929,10,16,5
51,131.600000,114.821000,5.599416,10,16,5
52,131.600000,114.151000,6.006455,10,16,5
53,131.600000,114.416000,5.559707,10,16,5
54,131.600000,114.453000,6.220538,10,16,5
55,131.600000,115.218000,6.189691,10,16,5
56,131.600000,115.117000,5.807427,10,16,5
57,131.600000,114.786000,6.496707,10,16,5
58,131.600000,114.265000,6.239173,10,16,5
59,131.600000,114.515000,5.828608,10,16,5
60,131.600000,114.522000,5.940296,10,16,5
61,131.600000,114.883000,6.542600,10,16,5
62,131.600000,113.464000,6.672174,10,16,5
63,131.600000,114.543000,5.982178,10,16,5
64,131.600000,114.492000,5.299315,10,16,5
65,131.600000,115.208000,5.777295,10,16,5
66,131.600000,116.097000,5.411459,10,16,5
67,131.600000,115.443000,6.299909,10,16,5
68,131.600000,113.807000,5.917487,10,16,5
69,131.600000,114.282000,5.500152,10,16,5
70,131.600000,115.125000,5.625093,10,16,5
71,131.600000,115.073000,5.669036,10,16,5
72,131.600000,114.017000,6.221592,10,16,5
73,131.600000,114.346000,6.266234,10,16,5
74,131.600000,114.842000,5.782615,10,16,5
75,131.600000,113.996000,6.779188,10,16,5
76,131.600000,114.955000,5.760510,10,16,5
77,131.600000,115.673000,5.284900,10,16,5
78,131.600000,114.978000,5.249678,10,16,5
79,131.600000,115.755000,5.470656,10,16,5
80,131.600000,114.267000,6.147423,10,16,5
81,131.600000,114.463000,6.110903,10,16,5
82,131.600000,114.010000,6.932193,10,16,5
83,131.600000,113.696000,5.574081,10,16,5
84,131.600000,113.523000,5.889700,10,16,5
85,131.600000,115.144000,5.563098,10,16,5
86,131.600000,114.559000,5.651532,10,16,5
87,131.600000,114.319000,6.164815,10,16,5
88,131.600000,115.633000,4.907139,10,16,5
89,131.600000,115.343000,6.017977,10,16,5
90,131.600000,114.977000,6.739553,10,16,5
91,131.600000,113.922000,5.855657,10,16,5
92,131.600000,114.949000,5.013492,10,16,5
93,131.600000,114.753000,6.289363,10,16,5
94,131.600000,114.285000,5.878986,10,16,5
95,131.600000,114.669000,6.367428,10,16,5
96,131.600000,115.260000,5.186502,10,16,5
97,131.600000,114.638000,6.213128,10,16,5
98,131.600000,115.139000,5.642817,10,16,5
99,131.600000,115.444000,5.646615,10,16,5
100,131.600000,114.361000,6.587517,10,16,5
101,131.600000,113.829000,5.847244,10,16,5
102,131.600000,114.090000,6.876591,10,16,5
103,131.600000,114.443000,5.510377,10,16,5
104,131.600000,114.329000,6.012625,10,16,5
105,131.600000,114.943000,5.371857,10,16,5
106,131.600000,114.774000,5.897502,10,16,5
107,131.600000,115.270000,5.707951,10,16,5
108,131.600000,113.952000,5.514734,10,16,5
109,131.600000,114.606000,5.542559,10,16,5
110,131.600000,114.927000,5.436283,10,16,5
111,131.600000,114.093000,6.215630,10,16,5
112,131.600000,114.527000,6.219065,10,16,5
113,131.600000,115.457000,5.784691,10,16,5
114,131.600000,114.865000,5.786076,10,16,5
