Iteration,Best Fitness,AVG Fitness,Worst Fitness,Prey Conflicts,Prey Total Color,Worst Conflicts,Worst Total Color
1,97.350000,88.080000,72.350000,21,5,60,4
2,97.350000,90.522000,82.400000,21,5,44,5
3,96.700000,87.543500,76.550000,22,5,53,5
4,98.000000,89.012000,72.000000,20,5,60,5
5,98.000000,90.036500,81.450000,20,5,46,4
6,98.000000,88.642000,72.650000,20,5,59,5
7,98.000000,88.427000,74.600000,20,5,56,5
8,98.000000,88.326500,72.650000,20,5,59,5
9,98.000000,88.613000,70.100000,20,5,64,3
10,98.000000,88.771000,77.200000,20,5,52,5
11,98.000000,89.372500,81.450000,20,5,46,4
12,98.000000,88.947000,80.450000,20,5,47,5
13,98.000000,87.746000,70.400000,20,5,63,4
14,98.000000,89.203000,70.400000,20,5,63,4
15,98.000000,88.674000,72.000000,20,5,60,5
16,98.000000,89.074500,80.150000,20,5,48,4
17,98.000000,88.259500,75.600000,20,5,55,4
18,98.000000,88.698000,79.800000,20,5,48,5
19,98.000000,89.005500,77.550000,20,5,52,4
20,98.000000,89.976000,83.050000,20,5,43,5
21,98.000000,88.356000,71.350000,20,5,61,5
22,98.000000,88.876000,70.050000,20,5,63,5
23,98.650000,89.814000,78.500000,19,5,50,5
24,98.650000,89.427500,77.200000,19,5,52,5
25,98.650000,88.437000,76.550000,19,5,53,5
26,98.650000,90.162000,79.150000,19,5,49,5
27,98.650000,90.590500,77.850000,19,5,51,5
28,98.650000,89.268000,75.250000,19,5,55,5
29,98.650000,89.259000,81.100000,19,5,46,5
30,98.650000,88.924000,73.300000,19,5,58,5
31,98.650000,90.187000,77.850000,19,5,51,5
32,98.650000,87.827000,75.900000,19,5,54,5
33,98.650000,89.274000,75.900000,19,5,54,5
34,98.650000,90.044500,81.450000,19,5,46,4
35,98.650000,88.157500,74.300000,19,5,57,4
36,98.650000,88.878500,77.200000,19,5,52,5
37,98.650000,89.450000,76.550000,19,5,53,5
38,98.650000,89.649500,82.750000,19,5,44,4
