Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,97.350000,88.261500,3.937238,0,21,5
1,97.350000,89.282000,4.109042,10,21,5
2,97.350000,89.320000,4.388696,10,21,5
3,97.350000,89.736000,4.203130,10,21,5
4,97.350000,89.619500,4.283176,10,21,5
5,97.350000,89.908500,3.673976,10,21,5
6,97.350000,89.206500,4.411058,10,21,5
7,97.350000,89.255500,3.902915,10,21,5
8,97.350000,90.068000,3.658090,10,21,5
9,97.350000,89.565000,4.329570,10,21,5
10,97.350000,90.450500,3.877380,10,21,5
11,97.350000,89.714500,4.523418,10,21,5
12,97.350000,89.165000,4.446074,10,21,5
13,97.350000,90.095000,4.172269,10,21,5
14,97.350000,89.600000,3.987850,10,21,5
15,97.350000,89.486000,4.241026,10,21,5
16,97.350000,89.747000,4.354841,10,21,5
17,97.350000,89.688000,4.342782,10,21,5
18,97.350000,89.226000,5.562434,10,21,5
19,97.350000,89.889500,4.100392,10,21,5
20,97.350000,89.824500,4.564879,10,21,5
21,97.350000,89.963000,4.583588,10,21,5
22,97.350000,89.713500,4.977353,10,21,5
23,97.350000,90.045000,4.518647,10,21,5
24,97.350000,90.081000,4.157901,6,21,5
25,97.350000,89.957500,4.116408,10,21,5
26,97.350000,89.572500,4.328414,10,21,5
27,97.350000,89.837000,4.682834,10,21,5
28,97.350000,90.166000,4.870292,10,21,5
29,97.350000,89.512500,4.927527,10,21,5
30,97.350000,89.794500,4.124511,10,21,5
31,97.350000,90.699000,3.888952,10,21,5
32,97.350000,90.532000,4.096483,10,21,5
33,98.000000,89.838000,4.311497,10,20,5
34,98.000000,89.328000,4.926258,10,20,5
35,98.000000,89.864000,4.877126,10,20,5
36,98.000000,89.792000,4.469808,10,20,5
37,98.000000,89.993500,4.514087,10,20,5
38,98.000000,89.776000,4.951179,10,20,5
39,98.000000,90.191000,4.219730,10,20,5
40,98.000000,90.062000,4.666536,10,20,5
41,98.000000,90.110500,4.068724,10,20,5
42,98.000000,89.717500,4.282116,10,20,5
43,98.000000,90.320500,4.516271,10,20,5
44,99.950000,90.458000,4.164023,10,17,5
45,99.950000,90.023000,4.487607,10,17,5
46,99.950000,89.848000,4.695796,10,17,5
47,99.950000,90.292500,4.317009,10,17,5
48,99.950000,89.893000,4.555974,10,17,5
49,99.950000,90.484000,4.521327,10,17,5
50,99.950000,90.241000,4.548964,10,17,5
51,99.950000,90.217000,4.899618,10,17,5
52,99.950000,90.636500,4.350700,10,17,5
53,99.950000,89.967500,4.769331,10,17,5
54,99.950000,90.163000,4.495457,10,17,5
55,99.950000,90.434000,4.391730,10,17,5
56,99.950000,89.788000,5.023117,10,17,5
57,99.950000,89.796000,4.454889,10,17,5
58,99.950000,90.013000,4.735471,10,17,5
59,99.950000,90.048500,4.241783,8,17,5
60,99.950000,89.610000,4.707404,10,17,5
61,99.950000,90.428500,4.233009,10,17,5
62,99.950000,90.344000,4.717326,10,17,5
63,99.950000,90.733500,3.925449,10,17,5
64,99.950000,90.334500,4.135364,10,17,5
65,99.950000,89.950500,4.712242,10,17,5
66,99.950000,89.568000,4.477580,10,17,5
67,99.950000,90.639000,4.260420,10,17,5
68,99.950000,89.981000,5.094830,10,17,5
69,99.950000,90.318500,4.438945,10,17,5
70,99.950000,90.519500,4.296056,10,17,5
71,99.950000,90.847500,4.248255,10,17,5
72,99.950000,90.305000,4.579091,10,17,5
73,99.950000,90.052000,4.964650,10,17,5
74,99.950000,89.856500,4.768504,9,17,5
75,99.950000,90.188000,4.316307,9,17,5
76,99.950000,90.482000,4.318429,10,17,5
77,99.950000,90.406500,4.260702,10,17,5
78,99.950000,89.262500,5.062881,10,17,5
79,99.950000,90.097500,4.648201,10,17,5
80,99.950000,90.439000,5.036867,10,17,5
81,99.950000,90.396000,4.687524,10,17,5
82,99.950000,90.101000,4.715671,10,17,5
83,99.950000,90.006000,4.441465,10,17,5
84,99.950000,89.951500,5.030758,10,17,5
85,99.950000,90.478000,4.747691,10,17,5
86,99.950000,90.078000,4.923090,10,17,5
87,99.950000,90.717500,4.623031,10,17,5
88,99.950000,90.215000,4.659380,10,17,5
89,99.950000,90.314500,4.062329,10,17,5
90,99.950000,89.636500,5.264479,10,17,5
91,99.950000,90.117000,4.589309,10,17,5
92,99.950000,90.799500,4.337831,10,17,5
93,99.950000,89.932000,5.327206,10,17,5
94,99.950000,90.870500,4.432804,10,17,5
95,99.950000,90.436000,4.705997,10,17,5
96,99.950000,90.883500,4.424359,10,17,5
97,99.950000,90.942500,4.464311,10,17,5
98,99.950000,91.111500,3.966156,10,17,5
99,99.950000,90.558500,4.356031,10,17,5
100,99.950000,90.708000,4.802732,10,17,5
101,99.950000,90.314500,5.153005,10,17,5
102,99.950000,90.717500,4.465985,10,17,5
103,99.950000,89.957500,5.021560,10,17,5
104,99.950000,90.852000,4.213104,10,17,5
105,99.950000,90.737500,4.583658,10,17,5
106,99.950000,90.610500,4.514849,10,17,5
107,99.950000,90.217500,5.212731,10,17,5
