Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,96.050000,88.144500,3.817721,0,23,5
1,96.050000,97.293500,3.378140,20,23,5
2,103.400000,99.839000,3.227697,20,9,10
3,105.250000,101.737500,3.566261,20,4,14
4,105.450000,102.166000,3.717532,20,1,19
5,105.450000,102.063500,3.708199,20,1,19
6,105.450000,102.135000,3.736205,20,1,19
7,105.450000,102.042500,3.705087,20,1,19
8,105.450000,102.033000,3.690516,20,1,19
9,105.750000,102.152000,3.732244,20,0,20
10,105.750000,102.151500,3.730794,20,0,20
11,105.750000,102.106500,3.725961,20,0,20
12,105.750000,102.213500,3.767531,20,0,20
13,105.750000,102.009000,3.708735,20,0,20
14,105.750000,102.156000,3.727843,20,0,20
15,105.750000,102.096500,3.736872,20,0,20
16,105.750000,102.060000,3.718212,20,0,20
17,105.750000,102.059500,3.710705,20,0,20
18,105.750000,102.003500,3.684225,20,0,20
19,105.750000,102.015500,3.705696,20,0,20
20,105.750000,102.000000,3.670014,20,0,20
21,105.750000,102.107500,3.729969,20,0,20
22,105.750000,102.075500,3.710057,20,0,20
23,105.750000,101.975500,3.690986,20,0,20
24,105.750000,102.110500,3.718066,20,0,20
25,105.750000,102.035500,3.688091,20,0,20
26,105.750000,102.085500,3.705059,20,0,20
27,105.750000,101.966500,3.692235,20,0,20
28,105.750000,102.172500,3.738980,20,0,20
29,105.750000,102.010000,3.682574,20,0,20
30,105.750000,102.079500,3.702743,20,0,20
31,105.750000,102.103500,3.721527,20,0,20
32,105.750000,102.117500,3.720110,20,0,20
33,105.750000,102.021500,3.697751,20,0,20
34,105.750000,101.937000,3.682130,20,0,20
35,105.750000,102.141000,3.723079,20,0,20
36,105.750000,102.077000,3.698854,20,0,20
37,105.750000,102.064500,3.705613,20,0,20
38,105.750000,102.020000,3.674942,20,0,20
39,105.750000,102.087500,3.703724,20,0,20
40,105.750000,102.101500,3.704696,20,0,20
41,105.750000,102.043000,3.674725,20,0,20
42,105.750000,102.022500,3.698036,20,0,20
43,105.750000,102.056000,3.691804,20,0,20
44,105.750000,102.033000,3.697528,20,0,20
45,106.100000,102.313000,3.799524,20,0,19
46,106.100000,102.149000,3.731695,20,0,19
47,106.100000,102.153000,3.721081,20,0,19
48,106.100000,102.134500,3.741321,20,0,19
49,106.100000,102.145000,3.764914,20,0,19
50,106.100000,102.135000,3.727456,20,0,19
51,106.100000,102.141500,3.747013,20,0,19
52,106.100000,102.116500,3.735499,20,0,19
53,106.100000,102.105000,3.725060,20,0,19
54,106.100000,102.143500,3.746082,20,0,19
55,106.100000,102.097500,3.719344,20,0,19
56,106.100000,102.075000,3.718464,20,0,19
57,106.100000,102.123000,3.731631,20,0,19
58,106.100000,102.227000,3.762914,20,0,19
59,106.100000,102.145500,3.728687,20,0,19
60,106.100000,102.131500,3.717369,20,0,19
61,106.100000,102.134000,3.744322,20,0,19
62,106.100000,102.125500,3.730191,20,0,19
63,106.100000,102.109000,3.740056,20,0,19
64,106.100000,102.101000,3.719476,20,0,19
65,106.100000,102.066500,3.683959,20,0,19
66,106.100000,102.196000,3.760696,20,0,19
67,106.100000,102.142000,3.741455,20,0,19
68,106.100000,102.119500,3.717129,20,0,19
69,106.100000,102.059000,3.713801,20,0,19
70,106.100000,102.159000,3.743764,20,0,19
71,106.100000,102.128000,3.721816,20,0,19
72,106.100000,102.023000,3.692475,20,0,19
73,106.100000,101.991000,3.666411,20,0,19
74,106.100000,102.114000,3.715044,20,0,19
75,106.100000,102.127500,3.739033,20,0,19
76,106.100000,102.095000,3.710057,20,0,19
77,106.100000,102.112500,3.722703,20,0,19
78,106.100000,102.088000,3.723615,20,0,19
79,106.100000,102.005000,3.712637,20,0,19
80,106.100000,102.132500,3.725556,20,0,19
81,106.100000,102.034000,3.701107,20,0,19
82,106.100000,102.122000,3.723932,20,0,19
83,106.100000,102.156500,3.768565,20,0,19
84,106.100000,102.164500,3.747828,20,0,19
85,106.100000,102.105500,3.712182,20,0,19
