Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,150.850000,140.853000,4.333877,0,26,6
1,150.850000,140.209500,4.606895,10,26,6
2,150.850000,141.400000,4.894068,17,26,6
3,152.800000,141.650000,5.467065,24,23,6
4,152.800000,141.345000,5.505145,14,23,6
5,152.800000,141.413500,5.741075,17,23,6
6,152.800000,141.984500,5.874928,18,23,6
7,152.800000,142.303500,5.084512,21,23,6
8,152.800000,141.777000,5.863785,23,23,6
9,152.800000,141.479000,5.899628,23,23,6
10,152.800000,142.203000,5.493896,23,23,6
11,152.800000,142.950000,5.400977,25,23,6
12,152.800000,142.286500,5.418717,19,23,6
13,152.800000,142.157500,6.026717,23,23,6
14,152.800000,141.891000,5.931890,24,23,6
15,152.800000,142.680000,5.861220,26,23,6
16,152.800000,141.741000,6.887642,23,23,6
17,154.100000,143.609500,5.538699,29,21,6
18,154.100000,143.100500,6.083467,19,21,6
19,154.100000,143.372500,5.949686,21,21,6
20,154.100000,142.995500,6.551302,22,21,6
21,154.100000,142.700000,6.867325,23,21,6
22,154.100000,142.797500,6.405308,23,21,6
23,154.100000,143.622500,5.760088,23,21,6
24,154.100000,143.330000,5.952936,23,21,6
25,154.100000,143.021500,6.295349,23,21,6
26,154.100000,144.000000,6.056257,25,21,6
27,154.100000,142.736000,6.449163,17,21,6
28,154.100000,142.735500,6.639918,21,21,6
29,154.100000,143.876000,5.554662,21,21,6
30,154.100000,142.554000,6.536967,18,21,6
31,154.100000,142.895000,6.236852,22,21,6
32,154.100000,143.333500,6.184493,22,21,6
33,154.100000,143.951000,5.683190,24,21,6
34,154.100000,142.726000,6.632256,20,21,6
35,154.100000,143.606500,6.117984,25,21,6
36,154.100000,143.531500,6.316386,26,21,6
37,154.100000,143.528500,6.508265,26,21,6
38,154.100000,144.431500,5.822472,29,21,6
39,154.100000,143.850000,6.258159,24,21,6
40,154.100000,144.480500,5.689182,24,21,6
41,154.100000,144.006000,6.407934,25,21,6
42,154.100000,143.717000,6.616983,25,21,6
43,154.100000,144.074000,6.158382,25,21,6
44,154.100000,144.714500,5.323891,25,21,6
45,154.100000,144.854500,5.414818,25,21,6
46,154.100000,144.549000,6.035839,27,21,6
47,154.100000,144.260000,6.897217,27,21,6
48,154.100000,144.555500,5.904176,27,21,6
49,154.100000,144.205000,6.145090,28,21,6
50,154.100000,144.474000,5.927164,28,21,6
51,154.100000,143.915500,6.783593,28,21,6
52,154.100000,143.951000,6.617794,29,21,6
53,154.100000,144.357000,6.477646,29,21,6
54,154.100000,144.685500,6.145032,29,21,6
55,154.100000,144.955000,5.701484,30,21,6
56,154.100000,145.208500,5.581877,24,21,6
57,154.100000,144.529500,6.075653,25,21,6
58,154.100000,144.500000,6.160491,29,21,6
59,154.100000,144.646500,6.239240,29,21,6
60,154.100000,144.731000,6.230348,29,21,6
61,154.100000,144.500500,6.067736,29,21,6
62,154.100000,144.699000,5.924994,29,21,6
63,154.100000,144.753500,6.261203,29,21,6
64,154.100000,144.926000,6.025626,30,21,6
65,154.100000,144.783000,6.274369,31,21,6
66,154.100000,145.215000,5.720833,31,21,6
67,154.100000,145.351500,5.398414,27,21,6
68,154.100000,144.988000,5.936763,27,21,6
69,154.100000,144.968000,5.989297,27,21,6
70,154.100000,144.480500,6.589290,27,21,6
71,154.100000,145.215500,5.844808,31,21,6
72,154.100000,144.539000,6.465650,28,21,6
73,154.100000,144.757000,6.378429,32,21,6
74,154.100000,144.773500,6.299101,32,21,6
75,154.100000,145.315500,5.819908,32,21,6
76,154.100000,144.965000,6.075930,29,21,6
77,154.100000,145.702500,5.650891,30,21,6
78,154.100000,145.131000,6.160121,30,21,6
79,154.100000,145.559500,5.824760,30,21,6
80,154.100000,144.909500,6.436372,30,21,6
81,154.100000,145.169500,6.072602,34,21,6
82,154.100000,145.436000,5.869540,30,21,6
83,154.100000,144.517000,6.898533,31,21,6
84,154.100000,144.952000,6.576036,35,21,6
85,154.100000,145.250500,5.955785,31,21,6
86,154.100000,144.932500,7.095458,31,21,6
87,154.100000,145.150500,6.165028,32,21,6
88,154.100000,145.124500,6.391657,32,21,6
89,154.100000,145.286500,6.124132,32,21,6
90,154.100000,145.315500,6.309650,32,21,6
91,154.100000,145.631000,5.907287,33,21,6
92,154.100000,145.371500,6.174485,33,21,6
93,154.100000,145.790000,5.807134,33,21,6
94,154.100000,144.870500,6.638302,33,21,6
95,154.100000,145.387000,5.901053,37,21,6
96,154.100000,145.391000,6.017563,33,21,6
97,154.100000,145.855500,5.693386,33,21,6
98,154.100000,145.969000,5.527512,34,21,6
99,154.100000,145.670000,6.234328,34,21,6
100,154.100000,145.349000,6.527817,35,21,6
101,154.100000,146.316500,5.197654,35,21,6
102,154.100000,144.321500,6.659903,19,21,6
103,154.100000,144.519500,6.540080,29,21,6
104,154.100000,144.974500,5.892362,29,21,6
105,154.100000,144.796000,6.154790,25,21,6
106,154.100000,144.428500,6.188212,29,21,6
107,154.100000,144.422000,6.446973,29,21,6
108,154.100000,144.458500,6.405225,29,21,6
109,154.100000,145.309500,5.701235,29,21,6
110,154.100000,145.595500,5.516439,26,21,6
111,154.100000,144.854500,6.056204,26,21,6
112,154.100000,144.695500,6.317045,31,21,6
113,154.100000,144.919000,6.127915,31,21,6
114,154.100000,144.906500,6.561370,27,21,6
115,154.100000,144.997500,6.200953,28,21,6
116,154.100000,145.150500,6.339016,28,21,6
117,154.100000,145.325500,5.989030,28,21,6
118,154.100000,144.955000,6.401740,28,21,6
119,154.100000,144.952000,6.253403,28,21,6
120,154.100000,144.971000,6.235680,28,21,6
121,154.100000,145.381500,6.115557,28,21,6
122,154.100000,144.786000,6.810309,28,21,6
123,154.100000,144.994500,6.281321,33,21,6
124,154.100000,144.725000,6.465336,29,21,6
125,154.100000,144.822000,6.635949,33,21,6
126,154.100000,145.367500,5.759924,33,21,6
127,154.100000,145.225000,6.445586,29,21,6
128,154.100000,145.329000,5.928892,29,21,6
129,154.100000,144.711000,7.043936,29,21,6
130,154.100000,145.159500,5.941876,33,21,6
131,154.100000,145.390500,5.892273,29,21,6
132,154.100000,145.043000,6.482141,29,21,6
133,154.100000,145.442500,6.052443,30,21,6
134,154.100000,145.215000,6.250078,30,21,6
135,154.100000,145.391000,6.268494,31,21,6
136,154.100000,145.595500,5.776543,31,21,6
137,154.100000,145.147000,6.684235,31,21,6
138,154.100000,145.725000,6.120031,33,21,6
139,154.100000,145.569500,6.323950,33,21,6
140,154.100000,145.569000,6.260554,33,21,6
141,154.100000,145.861500,5.795135,33,21,6
142,154.100000,145.797000,6.278574,33,21,6
143,154.100000,145.696000,6.028850,34,21,6
144,154.100000,145.774000,6.255092,34,21,6
145,154.100000,145.949500,5.891920,34,21,6
146,154.100000,145.741500,6.294367,34,21,6
147,154.100000,145.754500,6.209219,34,21,6
148,154.100000,145.602000,6.404935,34,21,6
149,154.100000,145.953000,5.781932,34,21,6
150,154.100000,145.924000,6.006844,34,21,6
151,154.100000,144.961500,7.053116,34,21,6
152,154.100000,145.884500,6.031553,34,21,6
153,154.100000,146.287500,5.520441,34,21,6
154,154.100000,146.203000,5.527223,25,21,6
155,154.100000,145.381000,6.182171,25,21,6
156,154.100000,145.250500,6.408219,32,21,6
157,154.100000,145.319500,6.806283,32,21,6
158,154.100000,145.741500,5.676562,32,21,6
159,154.100000,145.133500,6.580821,32,21,6
160,154.100000,145.063500,6.427748,32,21,6
161,154.100000,145.313000,6.726398,32,21,6
162,154.100000,145.419500,6.444117,33,21,6
163,154.100000,145.634500,6.052242,33,21,6
164,154.100000,146.235500,5.656515,33,21,6
165,154.100000,145.923500,5.715293,26,21,6
166,154.100000,145.209000,6.892327,33,21,6
167,154.100000,145.452500,6.273589,33,21,6
168,154.100000,145.992000,6.057552,33,21,6
169,154.100000,145.653500,6.211281,34,21,6
170,154.100000,146.008000,6.073540,34,21,6
171,154.100000,145.846000,6.423825,34,21,6
172,154.100000,146.069500,6.260858,36,21,6
173,154.100000,146.528500,5.723335,36,21,6
174,154.100000,146.459500,5.781811,29,21,6
175,154.100000,146.235500,6.200546,29,21,6
176,154.100000,146.067000,6.083026,30,21,6
177,154.100000,146.034000,6.678495,37,21,6
178,154.100000,146.381500,5.914899,39,21,6
179,154.100000,145.846000,6.673214,31,21,6
180,154.100000,146.229000,6.298580,38,21,6
181,154.100000,145.595500,7.081448,31,21,6
182,154.100000,145.923500,6.680163,38,21,6
183,154.100000,146.255000,6.207344,39,21,6
184,154.100000,146.901500,5.663084,32,21,6
185,154.100000,146.755500,5.845446,33,21,6
186,154.100000,146.070500,6.485103,33,21,6
187,154.100000,146.239000,6.456727,40,21,6
188,154.100000,146.375500,6.367289,33,21,6
189,154.100000,146.833500,5.908837,33,21,6
190,154.100000,146.297500,6.497082,33,21,6
191,154.100000,146.340000,6.162280,33,21,6
192,154.100000,146.560500,5.731628,33,21,6
193,154.100000,146.898500,5.707440,33,21,6
194,154.100000,146.443500,6.385725,33,21,6
195,154.100000,146.375500,6.422027,33,21,6
196,154.100000,147.282000,4.938104,33,21,6
197,154.100000,146.089500,6.505172,33,21,6
