Iteration,Fitness,AVG Fitness,Standard Deviation,Cluster Size,Conflicts,Total Color
0,96.700000,87.748000,4.404236,0,22,5
1,96.700000,87.742000,4.743900,11,22,5
2,96.700000,89.568000,3.989897,19,22,5
3,96.700000,89.331000,4.394655,21,22,5
4,96.700000,89.915000,4.180230,29,22,5
5,96.700000,90.140000,4.315090,32,22,5
6,96.700000,90.630000,4.079222,37,22,5
7,96.700000,90.146500,4.570297,25,22,5
8,96.700000,90.335000,4.784504,41,22,5
9,97.350000,90.549000,4.891375,28,21,5
10,97.350000,91.007500,4.500563,33,21,5
11,97.350000,90.751000,4.542180,17,21,5
12,97.350000,90.998500,4.915269,31,21,5
13,97.350000,91.462000,4.142880,19,21,5
14,97.350000,91.140500,4.666758,22,21,5
15,97.350000,91.195500,4.667371,22,21,5
16,98.000000,91.478000,4.582201,22,20,5
17,98.000000,91.182500,5.180586,24,20,5
18,98.000000,91.832000,4.005019,25,20,5
19,98.650000,91.547000,4.563260,17,19,5
20,98.650000,91.609500,4.633836,19,19,5
21,98.650000,91.504000,4.601998,20,19,5
22,98.650000,91.302500,5.002346,20,19,5
23,98.650000,91.473000,5.008041,20,19,5
24,98.650000,91.800000,4.994051,21,19,5
25,98.650000,91.757500,4.784503,23,19,5
26,98.650000,91.739000,4.568378,24,19,5
27,98.650000,92.057500,4.511122,24,19,5
28,98.650000,92.593000,4.010648,27,19,5
29,98.650000,92.226000,3.984504,17,19,5
30,98.650000,91.761000,4.548552,19,19,5
31,98.650000,91.751000,4.584599,24,19,5
32,98.650000,91.878500,4.798392,24,19,5
33,98.650000,92.245500,4.387557,24,19,5
34,98.650000,91.907500,4.700646,19,19,5
35,98.650000,91.608500,5.184371,24,19,5
36,98.650000,91.917000,4.627274,26,19,5
37,98.650000,92.092500,4.689501,26,19,5
38,98.650000,91.722500,4.991159,26,19,5
39,98.650000,91.784000,5.214470,26,19,5
40,98.650000,92.267500,4.305882,27,19,5
41,98.650000,91.901500,4.943235,20,19,5
42,98.650000,92.203500,4.483109,27,19,5
43,98.650000,92.274000,4.468056,21,19,5
44,98.650000,92.261000,4.737618,21,19,5
45,98.650000,91.858500,4.938836,21,19,5
46,98.650000,92.070000,4.855466,28,19,5
47,98.650000,92.307000,4.531793,28,19,5
48,98.650000,92.878000,3.533131,22,19,5
49,98.650000,92.358500,4.591765,22,19,5
50,98.650000,92.498500,4.183667,22,19,5
51,98.650000,92.696500,3.987093,22,19,5
52,98.650000,92.583500,4.289266,23,19,5
53,98.650000,93.131500,3.482805,24,19,5
54,98.650000,92.680000,4.484763,24,19,5
55,98.650000,92.401500,4.641516,24,19,5
56,98.650000,92.567000,4.125089,24,19,5
57,98.650000,92.284500,4.874873,24,19,5
58,98.650000,92.563500,4.464890,24,19,5
59,98.650000,92.599500,4.515886,24,19,5
60,98.650000,92.901500,3.899650,24,19,5
61,98.650000,92.840000,4.009632,24,19,5
62,98.650000,92.469500,4.342856,24,19,5
63,98.650000,92.641500,4.216723,24,19,5
64,98.650000,92.592500,4.690961,24,19,5
65,98.650000,92.790500,3.787609,24,19,5
66,98.650000,92.635500,4.283388,24,19,5
67,98.650000,92.318500,4.829827,25,19,5
68,98.650000,92.531000,4.888935,26,19,5
69,98.650000,92.976500,4.027831,26,19,5
70,98.650000,92.466000,4.773887,27,19,5
71,98.650000,92.661000,4.485719,27,19,5
72,98.650000,92.943000,3.909284,27,19,5
73,98.650000,92.979500,4.117682,28,19,5
74,98.650000,93.213500,3.834670,28,19,5
75,98.650000,93.022000,4.052335,28,19,5
76,98.650000,93.057500,4.085715,29,19,5
77,100.600000,92.937000,4.429834,29,16,5
78,100.600000,92.583000,4.653865,10,16,5
79,100.600000,92.330500,5.054661,15,16,5
80,100.600000,92.417500,4.847419,15,16,5
81,100.600000,93.200500,3.481167,15,16,5
82,100.600000,91.988000,5.275415,11,16,5
83,100.600000,92.654500,4.354670,15,16,5
84,100.600000,92.706500,4.503347,15,16,5
85,100.600000,92.638500,4.850633,16,16,5
86,100.600000,92.765000,4.504362,16,16,5
87,100.600000,92.726000,4.421965,12,16,5
88,100.600000,92.979500,4.040638,16,16,5
89,100.600000,92.868500,4.244659,12,16,5
90,100.600000,92.714000,4.623500,12,16,5
91,100.600000,92.413500,4.858610,17,16,5
92,100.600000,92.761500,4.426759,17,16,5
93,100.600000,92.795000,4.319088,12,16,5
94,100.600000,93.158000,3.857400,12,16,5
95,100.600000,92.167500,5.106405,12,16,5
96,100.600000,92.716500,4.371076,16,16,5
97,100.600000,92.330500,5.626833,16,16,5
98,100.600000,92.680500,4.661121,17,16,5
99,100.600000,92.749000,4.782118,17,16,5
100,100.600000,93.002000,4.281430,13,16,5
101,100.600000,92.586500,4.683604,13,16,5
102,100.600000,93.047500,4.162189,17,16,5
103,100.600000,92.768500,4.555819,14,16,5
104,100.600000,93.035500,4.402501,14,16,5
105,100.600000,92.810500,4.742533,14,16,5
106,100.600000,93.058000,4.153238,14,16,5
107,100.600000,92.678000,5.204086,14,16,5
108,100.600000,92.983000,4.756733,19,16,5
109,100.600000,92.524500,4.958314,14,16,5
110,100.600000,93.148000,4.268208,18,16,5
111,100.600000,93.142000,4.035497,14,16,5
112,100.600000,92.908000,4.359379,14,16,5
113,100.600000,92.541500,4.951959,14,16,5
114,100.600000,92.709500,4.802878,18,16,5
115,100.600000,92.778000,4.527904,14,16,5
116,100.600000,93.385500,3.608603,14,16,5
117,100.600000,92.901000,4.926738,14,16,5
118,100.600000,92.908500,4.659002,14,16,5
119,100.600000,92.849000,4.660633,14,16,5
120,100.600000,92.564500,5.186788,14,16,5
121,100.600000,92.694000,4.881922,18,16,5
122,100.600000,92.963000,4.446530,18,16,5
123,100.600000,93.037500,4.594221,14,16,5
124,100.600000,93.259500,4.069372,14,16,5
125,100.600000,92.924500,4.539645,14,16,5
126,100.600000,92.921000,4.518939,14,16,5
127,100.600000,93.018500,4.061826,14,16,5
128,100.600000,92.746000,4.900463,14,16,5
129,100.600000,92.681000,4.864431,14,16,5
130,100.600000,93.227000,4.062403,18,16,5
131,100.600000,92.687000,4.985482,14,16,5
132,100.600000,92.814500,5.077461,19,16,5
133,100.600000,92.810500,4.829386,15,16,5
134,100.600000,93.141500,4.250841,15,16,5
135,100.600000,93.184500,4.400663,15,16,5
136,100.600000,92.866500,4.761513,15,16,5
137,100.600000,93.067000,4.387979,15,16,5
138,100.600000,93.184000,4.050666,15,16,5
139,100.600000,92.922000,4.635328,15,16,5
140,100.600000,92.960000,4.685467,15,16,5
141,100.600000,92.674000,5.003066,15,16,5
142,100.600000,92.755000,4.773827,19,16,5
143,100.600000,92.859500,4.855567,15,16,5
144,100.600000,93.243000,4.039394,15,16,5
145,100.600000,92.771500,4.799543,15,16,5
146,100.600000,93.334000,4.073382,15,16,5
147,100.600000,93.122500,4.228241,15,16,5
148,100.600000,93.083000,4.316145,15,16,5
149,100.600000,93.135500,4.281012,15,16,5
150,100.600000,92.706500,4.805011,15,16,5
151,100.600000,93.369000,4.151498,15,16,5
152,100.600000,93.008500,4.933969,16,16,5
153,100.600000,92.979500,4.466017,16,16,5
154,100.600000,92.969500,4.808450,16,16,5
155,100.600000,93.171000,4.384565,16,16,5
156,100.600000,93.239500,4.177501,16,16,5
157,100.600000,93.093000,4.579809,16,16,5
158,100.600000,93.158500,4.263884,16,16,5
159,100.600000,92.836500,4.921254,16,16,5
160,100.600000,93.330500,4.252616,16,16,5
161,100.600000,93.071000,4.568671,16,16,5
162,100.600000,93.012000,4.884491,16,16,5
163,100.600000,93.171000,4.340462,16,16,5
164,100.600000,93.301000,4.066577,16,16,5
165,100.600000,93.437500,3.762927,16,16,5
166,100.600000,93.142000,4.439897,16,16,5
167,100.600000,92.996500,4.716070,16,16,5
168,100.600000,93.392000,3.892626,17,16,5
169,100.600000,93.269000,4.371583,17,16,5
170,100.600000,93.223000,4.376885,17,16,5
171,100.600000,93.574000,3.796126,17,16,5
172,100.600000,93.136500,4.430411,17,16,5
173,100.600000,93.311500,4.433576,17,16,5
174,100.600000,93.314000,4.237429,17,16,5
175,100.600000,93.230000,4.346826,17,16,5
176,100.600000,93.311000,4.294651,17,16,5
177,100.600000,93.175000,4.450671,17,16,5
178,100.600000,93.012500,4.723062,17,16,5
179,100.600000,93.580500,3.939473,17,16,5
180,100.600000,93.482500,3.876502,17,16,5
181,100.600000,93.336500,3.989968,17,16,5
182,100.600000,93.484000,3.988865,17,16,5
183,100.600000,93.055000,4.735575,17,16,5
184,100.600000,93.210500,4.415922,17,16,5
185,100.600000,93.337000,4.581215,17,16,5
186,100.600000,93.392500,3.960772,17,16,5
187,100.600000,93.421500,4.046611,17,16,5
188,100.600000,93.135500,4.382969,17,16,5
189,100.600000,92.934500,5.178430,17,16,5
190,100.600000,93.301500,4.220737,17,16,5
191,100.600000,92.866500,4.844337,17,16,5
192,100.600000,93.061000,4.650933,17,16,5
193,100.600000,93.162000,4.512655,17,16,5
194,100.600000,93.291500,4.158438,17,16,5
195,100.600000,93.070500,4.619053,17,16,5
196,100.600000,92.985500,4.895985,17,16,5
197,100.600000,93.161500,4.754381,17,16,5
198,100.600000,93.271500,4.267659,17,16,5
199,100.600000,93.421000,4.167656,17,16,5
200,100.600000,93.538000,3.952683,18,16,5
201,100.600000,93.142000,4.403145,18,16,5
202,100.600000,93.359500,4.268101,18,16,5
203,100.600000,93.138500,4.584582,18,16,5
204,100.600000,93.525000,4.099857,18,16,5
205,100.600000,93.142000,4.756131,18,16,5
206,100.600000,93.496500,4.102312,18,16,5
207,100.600000,93.178000,4.458634,18,16,5
208,100.600000,92.911500,4.948080,18,16,5
209,100.600000,93.060500,4.804718,18,16,5
210,100.600000,93.431500,4.480288,18,16,5
211,100.600000,93.032500,4.875087,18,16,5
212,100.600000,93.148500,4.461773,18,16,5
213,100.600000,93.409000,4.118491,18,16,5
214,100.600000,93.470000,4.066700,18,16,5
215,100.600000,93.246500,4.445055,18,16,5
216,100.600000,93.506000,4.092128,18,16,5
217,100.600000,93.252500,4.378900,18,16,5
218,100.600000,93.490000,4.165081,18,16,5
219,100.600000,92.658000,5.943012,18,16,5
220,100.600000,93.301000,4.332938,18,16,5
221,100.600000,93.814500,3.627646,18,16,5
222,100.600000,93.220000,4.714647,18,16,5
223,100.600000,93.411000,4.267110,18,16,5
224,100.600000,93.821000,3.409869,18,16,5
225,100.600000,92.954000,4.933841,18,16,5
226,100.600000,93.301500,4.487363,18,16,5
227,100.600000,93.318500,4.534874,18,16,5
228,100.600000,93.141500,4.718898,18,16,5
229,100.600000,93.382500,4.400076,18,16,5
230,100.600000,93.318000,4.471401,18,16,5
231,100.600000,93.349500,4.350060,18,16,5
232,100.600000,93.489500,4.484954,18,16,5
233,100.600000,93.471000,4.229469,18,16,5
234,100.600000,93.392500,4.289087,18,16,5
235,100.600000,92.908500,5.116728,18,16,5
236,100.600000,93.395000,4.098667,18,16,5
237,100.600000,93.324000,4.436640,18,16,5
238,100.600000,93.619500,3.728484,18,16,5
239,100.600000,93.045000,4.625259,18,16,5
240,100.600000,93.438000,4.066314,18,16,5
241,100.600000,93.382500,4.172999,18,16,5
242,100.600000,93.655000,3.912375,18,16,5
243,100.600000,93.158500,4.438716,18,16,5
244,100.600000,93.073500,4.829702,18,16,5
245,100.600000,93.369500,4.331968,18,16,5
246,100.600000,93.087000,4.721195,18,16,5
247,100.600000,93.291000,4.665567,18,16,5
248,100.600000,94.006500,3.507703,19,16,5
249,100.600000,93.073500,4.756950,7,16,5
250,100.600000,93.554000,3.886674,18,16,5
251,100.600000,93.207000,4.596711,18,16,5
252,100.600000,93.512500,3.900720,18,16,5
253,100.600000,93.580500,3.831657,18,16,5
254,100.600000,93.148000,4.662960,18,16,5
255,100.600000,93.281000,4.686874,18,16,5
256,100.600000,93.213500,4.516995,18,16,5
257,100.600000,92.976500,5.167908,18,16,5
258,100.600000,93.450500,4.236198,18,16,5
259,100.600000,93.239000,4.537905,18,16,5
260,100.600000,93.161500,4.666481,18,16,5
261,100.600000,92.872500,4.982511,18,16,5
262,100.600000,93.503000,4.092834,18,16,5
263,100.600000,93.578000,4.164975,18,16,5
264,100.600000,93.269000,4.388205,19,16,5
265,100.600000,93.294500,4.678546,19,16,5
266,100.600000,93.399000,4.165117,19,16,5
267,100.600000,93.320500,4.521013,19,16,5
268,100.600000,93.590500,3.955134,19,16,5
269,100.600000,93.369000,4.402044,19,16,5
270,100.600000,93.334500,4.314723,19,16,5
271,100.600000,93.181000,5.203863,19,16,5
272,100.600000,93.581000,4.022827,19,16,5
273,100.600000,92.810500,5.180556,19,16,5
274,100.600000,93.219500,4.527455,19,16,5
275,100.600000,93.200500,4.828926,19,16,5
276,100.600000,93.678500,4.001895,19,16,5
277,100.600000,93.811500,3.919336,19,16,5
278,100.600000,93.538500,4.237298,19,16,5
279,100.600000,93.584000,4.137873,19,16,5
280,100.600000,93.672000,4.038114,19,16,5
281,100.600000,93.499000,4.257429,19,16,5
282,100.600000,93.203500,4.963876,19,16,5
283,100.600000,93.350000,4.212309,19,16,5
284,100.600000,93.103000,4.761984,19,16,5
285,100.600000,93.246000,4.702317,19,16,5
286,100.600000,93.561500,4.339256,19,16,5
287,100.600000,93.450500,4.580914,20,16,5
288,100.600000,93.798000,3.710747,20,16,5
289,100.600000,93.363500,5.047494,20,16,5
290,100.600000,93.756500,3.877561,20,16,5
291,100.600000,93.873500,3.797496,20,16,5
292,100.600000,93.827500,4.045698,21,16,5
293,100.600000,93.447000,4.704890,21,16,5
294,100.600000,93.684500,4.106268,21,16,5
295,100.600000,93.648500,4.295925,21,16,5
296,100.600000,93.668000,4.128023,21,16,5
297,100.600000,93.617000,4.307843,21,16,5
298,100.600000,93.639000,4.228331,21,16,5
299,100.600000,93.356000,4.653172,21,16,5
300,100.600000,93.658500,4.277967,21,16,5
301,100.600000,93.133000,5.307496,22,16,5
302,100.600000,93.882500,3.844785,22,16,5
303,100.600000,93.974000,3.867845,22,16,5
304,100.600000,93.132000,5.110746,8,16,5
305,100.600000,93.402500,4.700576,20,16,5
306,100.600000,93.127000,5.183384,20,16,5
307,100.600000,93.042000,5.114625,20,16,5
308,100.600000,93.444000,4.279663,20,16,5
309,100.600000,93.733500,3.948861,20,16,5
310,100.600000,93.716500,3.967764,20,16,5
311,100.600000,93.499000,4.480011,20,16,5
312,100.600000,93.622500,4.232885,20,16,5
313,100.600000,93.665500,4.294285,21,16,5
314,100.600000,93.986500,3.987034,21,16,5
315,100.600000,93.510000,4.602380,9,16,5
316,100.600000,93.701000,4.273166,21,16,5
317,100.600000,93.921500,3.570940,21,16,5
318,100.600000,93.753000,4.097730,9,16,5
319,100.600000,93.798000,3.826310,21,16,5
320,100.600000,93.980000,3.675473,21,16,5
321,100.600000,93.642500,4.492757,9,16,5
322,100.600000,93.080500,5.221144,21,16,5
323,100.600000,93.577500,4.532297,21,16,5
324,100.600000,93.535500,4.380766,21,16,5
325,100.600000,93.408500,4.371722,21,16,5
326,100.600000,93.990000,3.691612,21,16,5
327,100.600000,93.736500,4.373430,10,16,5
328,100.600000,93.915500,3.857290,22,16,5
329,100.600000,93.837500,3.965422,10,16,5
330,100.600000,93.752500,4.368904,22,16,5
331,100.600000,93.779000,4.080700,22,16,5
332,100.600000,93.906500,4.238264,22,16,5
333,100.600000,93.775500,3.995926,10,16,5
334,100.600000,93.899000,4.115592,22,16,5
335,100.600000,93.833500,4.078039,10,16,5
336,100.600000,93.593500,4.682957,22,16,5
337,100.600000,93.805500,4.409693,22,16,5
338,100.600000,93.607000,4.755271,22,16,5
339,100.600000,93.734000,4.116241,22,16,5
340,100.600000,93.597000,4.649827,22,16,5
341,100.600000,93.766000,4.310898,22,16,5
342,100.600000,93.957500,3.696000,22,16,5
343,100.600000,93.590500,4.426854,10,16,5
344,100.600000,93.681500,4.254031,22,16,5
345,100.600000,93.908500,4.000413,22,16,5
346,100.600000,93.532000,4.861535,10,16,5
347,100.600000,93.941000,3.819119,22,16,5
348,100.600000,93.626500,4.684866,10,16,5
349,100.600000,93.805000,4.423695,23,16,5
350,100.600000,93.828000,4.220014,23,16,5
351,100.600000,93.613000,4.548063,23,16,5
352,100.600000,93.765500,4.341789,23,16,5
353,100.600000,94.094000,3.852858,23,16,5
